catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
2372h,0.17,90.33725,90.47,20.55,0.19,2.06,1.88,1.45,1.0796754665743962
2372hh,0.336,10.16158,92.32,23.2,-0.63,-0.02,12.65,3.63,3.2376636116466497
2372i,0.335,9.269516,94.14,22.1,-1.24,-0.09,8.07,2.17,1.6596990381098793
2372ii,0.338,15.92051,93.79,18.84,-1.32,-0.03,7.65,3.72,1.8641809811072187
2372j,0.174,89.29983,91.92,13.6,-0.33,1.61,2.06,3.02,0.905702687684354
2372jj,0.124,13.53013,91.46,23.11,-1.63,-0.04,9.39,0.66,2.5535429881830614
2372k,0.356,17.15244,93.97,19.39,-1.3,-0.23,7.87,3.26,1.8884815394940706
2372kk,0.353,12.77047,91.63,33.99,-1.99,-0.28,4.67,1.59,1.8362423649300572
2372l,0.175,93.43758,91.33,13.21,-0.4,0.12,2.99,2.94,0.9397629190158628
2372ll,0.167,95.33479,89.77,18.31,-0.29,0.22,3.3,1.96,0.9647022631421092
2372m,0.362,8.380702,93.57,24.33,-0.32,-0.25,10.77,3.97,2.408291326173866
2372mm,0.353,8.38002,93.95,25.93,-0.67,0.22,9.64,1.13,2.3300860581710308
2372n,0.349,11.22483,91.93,21.24,0.64,-0.06,19.59,5.38,2.5113477839568836
2372nn,0.316,6.760044,88.42,31.13,-1.07,0.09,8.6,1.36,1.78990213045619
2372o,0.339,16.57141,92.67,21.28,-0.69,-0.65,10.62,6.29,2.992703696053123
2372oo,0.183,5.645617,91.91,29.31,-1.09,-0.12,8.96,0.16,3.1985000762268014
2372p,0.121,7.322628,91.32,26.25,-1.19,0.12,8.87,-0.24,2.747061809976803
2372q,0.153,8.652378,91.94,24.27,-0.52,0.35,3.51,0.95,1.3836414923537008
2372r,0.318,16.06202,92.61,22.75,-0.27,0.5,11.38,4.32,1.6288009228822977
2372s,0.314,2.263694,93.71,34.8,-0.27,-0.0,9.57,1.96,1.8657312625734752
2372t,0.364,11.00936,93.83,22.06,-0.43,0.03,9.85,3.37,2.306082208151842
2372u,0.365,2.753122,94.67,36.41,-0.54,-0.18,8.82,3.8,2.2114049197870234
2372v,0.351,19.73707,93.7,17.8,-0.49,0.21,9.97,5.13,2.344156431000797
2372w,0.387,8.496687,93.6,22.36,-0.59,0.27,9.86,5.17,2.4539889760127362
2372x,0.358,9.11272,91.69,23.98,0.24,-0.1,20.25,4.56,2.4942328667595333
2372y,0.397,6.526343,93.02,23.8,-0.53,0.26,10.48,2.61,2.795244373274377
2372z,0.436,6.733332,90.77,21.73,1.12,0.16,21.78,3.05,2.9343998740252504
2373,0.172,58.49559,89.93,,-1.94,,10.41,,1.4946278906390633
2374,0.181,9.830431,89.87,,-1.67,,8.83,,2.733099627399525
2375,0.287,5.423352,94.12,,-1.71,,11.26,,3.1497723180633463
2376,0.173,53.71182,93.52,,-0.1,,2.69,,1.662001861269045
2377,0.171,58.76474,93.52,,-0.4,,1.59,,1.4378739426565923
2378,0.174,57.18854,92.03,,-2.43,,7.47,,1.4212433389352164
2379,0.18,61.28772,91.63,,-2.42,,7.96,,1.3861691128224722
238,0.314,8.064465,94.68,,-0.31,,4.21,,1.7239635340704191
2380,0.175,60.99196,91.57,,-2.46,,7.43,,1.3338941059661915
2381,0.331,6.696295,94.08,,-1.65,,8.0,,2.2701911520961406
2382,0.312,12.29732,93.57,,-1.57,,12.79,,2.926016699378422
2383,0.275,48.3391,,,,,3.960459967969194,,1.1925651742379546
2384,0.293,62.86543,96.69,,1.6,,-1.73,,1.0635018212797194
2385,0.285,67.95568,94.36,,2.02,,-4.27,,1.401414642744456
2386,0.287,67.92951,94.4,,1.92,,-3.85,,1.3805665357945842
2387,0.274,14.24286,95.28,,-0.59,,1.68,,2.612082267635499
2388,0.279,45.55872,95.78,,0.05,,-0.31,,1.213638955002014
2389,0.288,13.31823,95.94,,-0.59,,6.69,,1.9285786486605885
239,0.371,7.817484,93.57,,-1.11,,8.55,,2.248384617975878
2390,0.166,3.372065,91.84,,-0.69,,3.88,,2.015277331578194
2391,0.172,3.567117,91.57,,-0.15,,4.23,,1.8827568590426027
2392a,0.24,97.48714,92.02,,1.87,,-0.77,,0.6876160659913335
2392b,0.242,22.38153,91.43,,2.38,,-1.69,,2.067391555908921
2392c,0.229,4.867309,89.39,,2.15,,4.37,,2.6442956301020977
2392d,0.289,11.19462,94.28,,-0.86,,10.18,,2.6431108742565597
2392e,0.293,11.55283,93.37,,2.14,,-3.11,,2.6210356927007448
2392f,0.401,7.44061,94.65,,-1.36,,10.84,,2.81287811993274
2392g,0.249,19.91087,90.44,,-0.38,,21.67,,2.049179119344556
2393,0.288,60.46146,93.23,,0.41,,3.66,,1.4509545458504698
2394,0.313,5.092331,94.61,,0.04,,6.43,,2.5071491705106514
2397,0.3,2.830094,93.31,,1.12,,5.56,,1.4740617069726372
2398,0.288,49.98242,95.5,,1.2,,1.3,,1.3061556970723496
24,0.165,3.115786,91.43,,-1.21,,8.8,,2.0940738786091813
240,0.351,8.795415,93.24,,-0.75,,9.16,,2.125288259471384
2400,0.275,93.00407,3.92,,0.64,,2.32,,4.663025339620953
2401,0.274,94.54911,,,,,12.74304845380983,,4.204582274595175
2402,0.258,24.18159,95.97,,-0.78,,5.54,,1.6203888623871026
2403,0.232,86.17751,94.9,,-1.05,,5.74,,0.7208471906487891
2404,0.25906869661964177,21.66014,93.23,,0.78,,7.21,,2.1115434816718905
2405,0.291,59.00444,95.8,,1.23,,0.4,,1.135192802849884
2406,0.235,96.60139,94.78,,-1.17,,3.21,,0.6476753008134527
2407,0.337,51.7598,,,,,6.411002252707777,,1.7749772047848418
2408,0.178,51.5795,,,,,4.875671542636876,,1.7796212522637858
2409,0.327,51.31009,90.81,,-1.29,,4.67,,1.8146262329320204
241,0.169,43.53888,90.3,,0.25,,1.81,,1.4384082141150154
2410,0.338,56.35086,,,,,5.866888724473455,,1.644202156387422
2411,0.336,63.17681,91.75,,0.27,,0.6,,1.494090389669294
2413,0.282,54.52757,95.3,,-0.08,,0.8,,1.4303747544726706
2414,0.358,9.141457,93.4,,-1.2,,7.78,,2.4197356282670106
2415,0.159,12.03333,92.62,,-0.38,,3.08,,2.032608476797672
2416,0.165,6.385907,93.68,,-0.19,,2.76,,2.0844377059974777
2417,0.179,11.25767,93.09,,-0.57,,5.48,,1.9386028169120038
2418,0.15,40.38237,90.3,,0.5,,0.62,,1.5322383289378187
2419,0.259,26.21519,92.59,,-1.38,,1.64,,2.3645762754058777
242,0.175,46.83483,90.51,,-0.01,,2.15,,1.4256116290976741
2420,0.165,60.2202,93.64,,-0.69,,3.85,,1.462103606933204
2421,0.234,83.89568,91.76,,1.34,,0.38,,0.6856368893155467
2423,0.281,14.28208,93.76,,0.6,,7.45,,1.5719573988628655
2424,0.319,46.82381,93.29,,-0.92,,4.13,,1.4992628575415352
2425,0.179,59.27503,92.34,,0.37,,0.78,,1.263816256698405
2426,0.179,54.58343,92.58,,0.81,,-0.4,,1.2641042372142783
2427,0.268,20.32779,92.5,,-0.12,,5.04,,1.922493763619467
2428,0.279,18.71329,93.41,,-0.51,,4.46,,2.0005930191712618
2429,0.176,16.42786,92.05,,-0.51,,3.96,,1.9198181440711535
243,0.167,44.39793,90.53,,-0.09,,1.97,,1.3789560809520802
2430,0.18,15.68964,92.08,,-0.52,,3.64,,2.1639406054579604
2431,0.264,17.73117,92.45,,-1.34,,12.14,,2.104633695549267
2432,0.171,6.648071,88.04,,-1.67,,15.12,,3.1179261671792373
2433,0.239,96.74148,94.4,,-1.31,,4.19,,0.6695920278586278
2434,0.231,96.01737,94.67,,-0.96,,2.98,,0.64850817904803
2435,0.24,8.237636,94.51,,-0.94,,3.89,,2.0592920865754727
2436,0.346,9.498179,94.97,,-0.97,,9.39,,2.167585748746916
2437,0.352,9.612411,95.4,,-0.63,,8.98,,2.2064433763947178
2438,0.267,16.0457,94.97,,0.35,,3.79,,2.433289466192155
2439,0.271,19.13076,95.04,,0.31,,3.7,,2.3835155264655756
244,0.349,7.092756,92.5,,-1.26,,5.93,,2.0811414545076774
2440,0.231,28.47881,,,,,7.333686993151047,,2.18232555941132
2441,0.231,97.56071,95.24,,-0.96,,3.96,,0.6034252077626169
2442,0.246,97.05325,94.04,,1.94,,-3.85,,0.5778072084001262
2443,0.286,5.095484,83.26,,0.1,,19.2,,2.2955412028445865
2444,0.282,3.63895,86.8,,0.0,,18.08,,3.256710394094274
2445,0.289,3.367793,91.07,,-0.25,,13.41,,2.148910220928659
2446,0.373,8.612946,86.79,,0.36,,24.3,,2.803317822498014
2447,0.155,27.62554,89.94,,-1.52,,11.73,,2.8393224646659667
2448,0.307,2.220044,85.16,,-0.39,,11.0,,2.4842083215408852
2449,0.142,6.916287,81.56,,-0.19,,14.23,,2.648892373459405
245,0.179,57.04473,90.84,,-0.42,,4.92,,1.4029183914249124
2450,0.274,5.697239,84.81,,0.46,,17.42,,3.1892714681926737
2451,0.142,6.26101,85.17,,-0.95,,10.6,,2.433492550389035
2453,0.27,15.17816,90.72,,-0.45,,14.26,,1.7650789580095654
2454,0.278,15.11115,88.77,,-0.84,,16.21,,2.3505027150416407
2455,0.275,8.241135,88.54,,0.52,,20.68,,2.73752925332517
2456,0.19,14.13902,90.75,,0.13,,2.04,,1.7552578304092525
2457,0.277,9.1250595,92.85,,-0.8,,7.76,,2.522832992760656
2458,0.272,13.06433,90.38,,-0.81,,14.25,,2.221104935454396
2459,0.329,12.41973,89.53,,0.52,,19.73,,2.364238525017213
2461,0.143,39.89366,67.68,,3.65,,9.89,,1.966856023951092
2462,0.175,37.60746,88.4,,0.42,,6.07,,1.708454988923047
2464,0.174,45.38453,89.28,,0.2,,4.26,,1.3534641979813842
2465a,0.1964321859710798,85.76887,95.8,18.64,1.37,0.3,-1.52,1.1,0.9011941505699831
2465b,0.19669154849436982,87.73376,95.63,14.48,1.49,0.43,-0.73,1.91,0.8700304084524934
2465c,0.23734668777009763,31.07487,94.77,44.79,1.7,0.84,-0.05,0.71,2.288273883772488
2465d,0.2672501117970039,4.979146,94.28,45.37,0.29,-0.04,5.58,1.79,2.550408259860766
2465e,0.2839774866879209,4.429809,93.01,26.75,0.92,0.34,13.57,2.89,2.8288652159699343
2466a,0.125,9.661043,82.84,13.83,-0.06,0.4,3.59,-0.2,2.1874097752722963
2466b,0.235,33.18128,85.2,8.49,-0.35,1.68,1.6,1.79,1.794968865222498
2466c,0.234,91.18783,89.15,11.22,-0.4,1.36,0.75,1.13,0.9476734711915535
2466d,0.231,88.55906,90.17,11.49,-0.48,0.76,1.05,2.66,0.9935295509969417
2466e,0.336,7.744263,86.96,16.9,-0.36,0.25,7.14,0.63,2.310461683831241
2466f,0.368,44.93546,88.02,13.54,-1.06,0.33,7.35,6.87,1.7878598535269326
2466g,0.181,9.198794,87.84,21.64,1.35,0.68,-0.37,-0.8,2.0808115392059108
2466h,0.403,9.797197,88.23,18.85,-0.85,0.44,9.02,4.03,2.333041430071581
2466i,0.359,50.46482,87.08,7.49,1.6,2.16,0.63,-3.51,1.5195832508168985
2466j,0.37,8.355804,88.1,16.66,-0.63,0.38,8.64,3.43,2.3434624919838876
2469,0.175,43.13126,91.14,,0.04,,3.38,,1.4036597721587376
2470,0.169,45.40649,91.46,,-0.12,,3.23,,1.4396553059837365
2471,0.179,42.62664,91.01,,0.22,,3.65,,1.3116516334416033
2472,0.175,25.41654,89.84,,0.84,,0.24,,1.5190841209348218
2473,0.345,10.08743,94.35,,-1.32,,8.56,,2.167852856839421
2474,0.348,8.705008,93.38,,-1.23,,10.22,,2.4707186692878267
2475,0.347,3.276078,91.24,,-0.45,,6.36,,1.9144759782734992
2476,0.169,62.06028,90.61,,0.21,,1.33,,1.6193970809123441
2477,0.326,58.04623,94.14,,-0.15,,1.51,,1.7042079123451246
2478,0.328,11.86312,95.31,,-1.06,,4.84,,2.1381229490503277
2479,0.343,8.810175,92.12,,-0.84,,6.75,,1.6440985836412427
2480,0.152,37.50797,62.54,,4.22,,15.75,,2.4897040423770616
2481,0.334,7.356713,93.44,,-1.1,,8.59,,2.57382882243587
2482,0.147,11.27082,88.38,,-1.53,,9.83,,2.140905147717832
2483,0.163,50.11518,90.95,,0.83,,-1.49,,1.758613953851872
2484,0.165,4.474909,92.29,,-1.04,,5.49,,1.825647933040652
2485,0.178,4.041983,92.05,,-0.96,,5.68,,1.8376607279391894
2486,0.177,45.84192,91.12,,0.39,,1.37,,1.674059175788223
2487,0.247,18.71492,94.35,,0.57,,4.58,,1.9067616921764814
2488,0.25,18.18782,94.24,,0.44,,5.1,,1.831097009877079
2489,0.284,47.258727014329075,94.19,,0.58,,6.45,,1.3388481971211248
249,0.363,12.74122,93.59,,-0.5,,7.54,,2.945876786257937
2490,0.175,6.179997,95.07,,-0.81,,6.21,,2.236818442832068
2491,0.292,4.903565,94.12,,0.68,,6.25,,1.6268949715144083
2492,0.289,4.738008,93.54,,1.25,,4.69,,1.6582145397358226
2493,0.293,4.425506,94.86,,0.88,,4.45,,1.5981355890499314
2494,0.292,7.233856,94.21,,1.03,,4.83,,1.5454909984594345
2495,0.166,56.25462,92.62,,1.44,,5.86,,1.3085991264472954
2496,0.236,28.03667,94.7,,1.84,,-0.53,,1.6664303586505185
2497,0.231,95.67742,5.83,,0.04,,6.95,,3.2091164657017965
2498,0.235,13.689499276421671,4.6,,1.5,,5.25,,2.682520033980431
2499,0.255,97.09641,95.31,,1.11,,-2.32,,0.5957289563565195
25,0.168,13.19685,88.74,,-1.0,,9.46,,2.2275961603871175
250,0.354,6.372365,95.41,,-0.8,,8.96,,2.3717982513033284
2500,0.165,54.58559,95.0,,0.7,,-0.65,,1.5531069571169278
2501,0.171,48.11478,95.99,,1.32,,-0.78,,1.670165567758253
2502,0.289,13.22948,92.58,,-0.92,,5.3,,2.7282074512426844
2503,0.362,8.172924,93.51,,-1.06,,8.46,,2.1578139651570107
2504,0.272222755269961,8.932983,92.85,,-0.42,,9.28,,2.306544768096041
2505,0.222,4.903626,90.01,,2.5,,5.18,,2.649674491164012
2506,0.253,9.888012,91.53,,3.16,,1.86,,2.178151344035294
2507,0.223,20.10746,97.33,,-0.61,,4.83,,1.2503838109848615
2508,0.248,35.78387,95.08,,0.08,,0.43,,0.6397212494065806
2509,0.242,5.707096,90.26,,-0.34,,8.63,,1.2004036379795957
251,0.392,5.461464,95.3,,-0.61,,8.9,,2.37234144738734
2510,0.231,92.74581,92.24,,-0.73,,3.9,,0.9093743237478064
2511,0.181,47.25587,93.2,,-0.14,,0.05,,1.6427998840382063
2512,0.1815,87.14527,94.48,,-0.87,,2.99,,0.6577122387287968
2516,0.358,8.531321,95.79,,-0.78,,8.81,,3.0040377225190453
2517,0.171,44.77188,92.52,,-0.78,,6.45,,1.4095130117413897
2518,0.296,60.98386,95.5,,0.96,,1.18,,1.17057902762478
2519,0.242,30.26643,94.54,,1.56,,-3.61,,1.8460055908850073
252,0.353,15.48613,94.73,,-0.89,,11.1,,3.2081121558724037
2520,0.277,56.90039,96.12,,-0.45,,0.88,,1.3238932136888228
2521,0.26542308598632613,3.388839,92.97,,-0.28,,4.03,,2.0819776048337366
2522,0.161,51.24268,86.75,,-1.52,,9.99,,1.6966311758411672
2523,0.25968091840154706,1.876086,25.29,,1.63,,1.37,,4.57254839408433
2524,0.244,95.85178,95.68,,0.08,,-0.52,,0.5393307053933496
2525,0.356,11.40162,91.73,,-0.44,,5.19,,2.137197878718418
2526,0.247,93.24162,95.61,,-0.2,,0.77,,0.5889427021593661
2527,0.244,29.8766,94.07,,1.59,,-3.33,,1.839125727417049
2528,0.289,58.7748,95.04,,1.13,,1.53,,1.0921720134366355
2529,0.245,98.50522,94.85,,1.67,,-3.5,,0.5582654221983605
253,0.293,56.69354,91.28,,-1.18,,11.24,,1.632465351183295
2530,0.243,30.25198,94.31,,1.73,,-3.98,,1.8521691524854835
2531,0.242,16.36194,94.57,,1.81,,-4.08,,1.8427659219167742
2532,0.24,98.48331,94.77,,1.56,,-3.71,,0.5726442010805427
2533,0.242,30.32792,94.07,,1.56,,-3.41,,1.7317482357700313
2534,0.244,95.68193,94.77,,-1.23,,4.33,,0.6172014957591958
2535,0.277,18.64559,93.82,,0.84,,5.65,,2.904923340506158
2536,0.171,58.02824,93.22,,0.88,,5.37,,1.5088553509095337
2538,0.247,21.85101,93.68,,0.26,,5.17,,1.7449367340210835
2539,0.224,94.87315,93.64,,-0.1,,0.93,,0.8665306231151675
254,0.209,83.54221,87.07,,1.61,,5.59,,0.8484187356213991
2540,0.175,19.84594,91.74,,-0.42,,7.3,,2.385955105569074
2541,0.266,24.92569,94.91,,0.26,,3.1,,2.3201638006960343
2542,0.272,48.85098,94.89,,0.76,,-0.11,,1.3418570833823207
2543,0.191,15.783522735430154,95.39,,0.17,,1.02,,2.760637781422237
2544,0.174,60.19324,91.03,,0.15,,-0.26,,1.4863218214139913
2545,0.172,58.18581,90.58,,-0.41,,-0.67,,1.535496472145905
2546a,0.283,14.00188,94.49,26.55,0.18,-0.37,4.83,1.65,1.4127639785402364
2546b,0.346,3.207139,92.67,28.39,0.04,-0.23,15.25,1.98,2.9492643955514213
2546c,0.279,63.6395,94.59,18.91,1.41,0.12,1.42,0.53,1.604332343669987
2546d,0.285,52.95687,95.73,25.55,1.42,0.92,-3.57,-1.44,1.2730547769623373
2546e,0.286,2.146564,95.76,27.97,0.91,0.8,-1.11,-0.84,1.2681061436592194
2546f,0.221,92.49055,93.05,13.23,0.89,1.91,-5.99,-1.12,0.530123827668387
2546g,0.221,93.54806,93.21,9.98,1.02,2.83,-6.13,-1.93,0.5042774781656286
2546h,0.223,11.6888,93.08,19.0,0.81,1.33,-5.0,0.28,0.9529777298942335
2546i,0.232,21.66726,91.56,32.67,-0.09,-0.95,1.56,11.09,1.933757335757346
2547,0.262,24.20571,,,,,9.003323350515444,,2.560364146040573
2548,0.264,25.47129,94.94,,0.53,,2.82,,2.5267974648792135
2549,0.284,53.37567,94.92,,0.52,,0.73,,1.4396160359630479
255,0.362,15.23666,92.51,,-0.3,,1.43,,2.2101768826781587
2550,0.287,49.96742,93.78,,-0.05,,6.81,,1.6962356903421019
2551,0.285,51.71198,94.63,,0.3,,5.33,,1.7431809059295404
2552,0.269,6.017799,94.67,,-0.46,,6.11,,2.3467257289579253
2553,0.26928261613060833,4.738622,94.78,,-0.48,,6.43,,2.34549485797701
2554,0.277,36.83594,95.64,,0.97,,2.35,,2.039382869853271
2555,0.267,29.17155,94.76,,0.54,,2.59,,2.1486733129346183
2556,0.267,29.45516,95.16,,0.57,,2.35,,2.1301709936025324
2557,0.173,41.09364,95.15,,1.03,,-1.5,,1.70476890979495
2559,0.24827118243809376,24.52456,94.88,,0.38,,2.97,,2.160343657405812
256,0.36,9.564295,94.94,,-0.8,,7.6,,2.14140032618417
2560,0.26,22.17273,94.42,,0.36,,3.21,,2.4345613653871565
2561,0.184,38.47532,92.44,,-0.18,,1.44,,1.9181495626662308
2562,0.243,95.97785,95.02,,-0.11,,1.04,,0.5552862036172225
2563a,0.241,83.92906,94.72,17.43,1.61,0.78,-1.45,1.59,0.7148217660558897
2563b,0.24,16.50584,95.15,18.12,1.48,0.8,-2.52,0.73,1.885598565206278
2563c,0.283,55.45523,95.21,19.17,1.94,0.69,-4.09,0.64,1.6343268254647965
2563d,0.276,7.633663,95.3,24.32,2.13,0.54,-3.75,0.42,2.584722550888045
2563e,0.282,7.674005,96.42,40.69,-1.13,-0.38,9.32,2.43,2.6740575372241238
2563f,0.284,60.35026,96.98,11.46,1.09,0.88,-0.76,2.55,1.368229896900689
2563g,0.291,45.67696,96.51,23.85,-0.38,-0.46,2.47,2.98,1.361120948304919
2563h,0.344,5.30662,96.32,23.26,-1.42,0.32,9.49,1.13,2.6682516403411642
2563i,0.352,2.826332,97.53,28.12,1.42,0.18,-1.58,-0.56,2.7220231575457907
2564,0.29,47.93288,93.11,,1.33,,4.7,,1.518853712856786
2565,0.163,43.99539,91.76,,-0.07,,1.74,,1.8476066504659692
2566,0.352,8.180147,95.89,,-1.25,,6.19,,1.599711642180478
2567,0.284,64.77899,94.32,,0.69,,0.72,,1.2239352093182698
2568,0.294,57.12437,96.36,,-0.66,,2.93,,1.3632014672949377
2569,0.244,96.76939,93.61,,-0.15,,5.98,,0.5102199770440377
257,0.268,14.9113,92.65,,1.65,,5.26,,3.0742421634676624
2571,0.226,2.296231,22.88,,0.02,,0.05,,3.787380778902879
2572,0.216,12.91692,12.56,,0.47,,0.12,,3.8746129626915597
2573,0.204,1.45042,22.59,,0.66,,1.01,,3.7834934217358063
2574,0.277,7.017037,84.27,,1.7,,26.03,,2.8420655912062895
2575,0.178,2.662932,91.0,,-1.4,,8.89,,2.3635049403532196
2576,0.216,28.2782,8.81,,0.7,,0.93,,3.7691217276080504
2577,0.182,4.190932,84.73,,0.02,,17.63,,3.4859976312719376
2578,0.292,4.909606,88.87,,0.09,,17.47,,3.1496129351950883
2579,0.242,5.824635,93.53,,-0.58,,6.82,,2.3897537746042055
258,0.169,71.67232,95.8,,-0.83,,2.17,,1.1986025721446285
2580,0.255,8.598482,93.6,,-0.82,,7.31,,2.5677185248416445
2581,0.225,5.693629,13.05,,2.37,,0.58,,3.932389210188885
2582,0.207,5.128572,18.16,,2.16,,0.3,,3.831345624831046
2583,0.165,40.52211,90.33,,-0.96,,8.92,,1.7446788119011123
2584,0.18,44.38346,85.49,,-1.39,,11.64,,2.111984236954895
2586,0.2517075775433383,52.44001,86.7,,-0.67,,14.08,,1.7438346809345826
2587,0.154,54.85012,87.75,,-1.41,,4.2,,1.7131905108951668
2588,0.27,22.13896,88.11,,-0.71,,9.55,,1.5258589875656732
2589,0.272,19.15142,79.76,,-0.38,,17.25,,2.3759510779785025
259,0.343,6.538911,94.79,,-0.75,,3.45,,2.061765222300998
2592,0.294,34.7116,78.05,,0.06,,20.81,,3.5537050817549702
2593,0.168,51.0666,94.13,,-0.42,,2.29,,1.4779356193530286
2594,0.158,49.1108,91.56,,-0.53,,4.7,,1.5940090176538269
2595,0.184,9.73452,90.01,,-1.66,,9.58,,2.772381977162928
2596,0.177,63.05946,,,,,4.73953518301471,,1.8317996123200517
2597,0.151,11.99076,88.41,,-1.56,,12.55,,2.3512953262311584
2598,0.149,12.51256,88.63,,-1.36,,9.28,,2.4102866452911926
2599,0.155,48.58206,89.01,,-1.12,,0.36,,1.5894304575739382
26,0.153,9.326822,89.14,,-1.68,,8.7,,2.3306877897676572
260,0.345,6.66465,94.77,,-0.8,,3.62,,2.0392449997709816
2602,0.129,42.68002,72.27,,0.77,,11.89,,1.968780759106792
2603,0.154,36.21214,93.02,,-0.98,,-0.48,,1.6509314884481257
2604,0.173,44.54963,90.11,,0.22,,2.53,,1.3624468879518639
2605,0.338,8.191276,92.9,,-0.96,,8.8,,1.9789977760828104
2606,0.281,68.03227,93.17,,0.87,,2.29,,0.9912322633166287
2607,0.281,22.16884,95.52,,1.56,,-1.8,,2.292513595080803
2608,0.2290639208130553,43.24895,92.8,,1.5,,-0.1,,1.5041789033094264
2609a,0.171,89.61717,92.25,6.48,0.83,0.76,2.5,1.3,1.1504257538186857
2609b,0.28,91.29147,91.62,11.21,0.55,0.95,3.26,3.83,1.1874485006827993
2609c,0.305,13.83425,91.71,12.05,0.6,0.5,5.6,2.07,2.112655315704013
2609d,0.287,17.94842,91.83,16.12,-0.7,0.45,12.77,6.3,1.8893960262831357
2609e,0.278,2.23629,92.92,31.02,0.01,0.31,7.03,0.79,2.5550196950296047
2609f,0.276,2.870157,91.26,24.88,-0.23,0.38,14.27,0.33,2.651368427214742
2609g,0.262,21.99147,91.99,15.5,0.88,0.83,4.57,1.38,2.112517002887674
2609h,0.288,16.61725,92.49,15.04,-0.7,0.33,11.99,4.83,2.3662344601128598
2609i,0.274,18.0727,89.75,12.88,0.48,0.66,19.27,6.69,2.191092841653658
2609j,0.329,13.94848,91.8,11.62,0.66,0.82,6.05,0.56,2.322515334438317
2609k,0.309,9.360171,91.48,13.63,0.85,0.75,6.19,3.69,2.852660851244143
2609l,0.169,93.9834,93.09,18.34,0.7,0.51,1.11,1.8,1.125838138608176
2609m,0.283,91.30181,93.31,14.81,1.06,1.1,0.83,3.28,1.0083447884542371
2609n,0.176,13.30289,91.11,23.31,0.95,0.4,3.81,2.57,1.9567264593757712
2609o,0.288,16.73289,90.71,9.58,0.73,1.25,6.37,1.25,2.1670004870149597
2609p,0.168,3.156716,93.2,31.11,0.38,0.55,6.05,0.74,2.547100190380985
2609q,0.171,23.5757,92.43,15.63,0.83,0.6,4.07,1.54,1.7767804268847454
2609r,0.244,16.79469,91.98,25.79,0.7,0.29,6.83,3.36,2.278365777995783
2609s,0.261,15.20881,92.31,16.75,-0.64,0.22,12.1,3.05,2.4717320529863325
2609t,0.288,20.3422,92.39,24.23,0.84,0.39,4.08,3.19,1.7424772452834483
2609u,0.089,11.72153,91.19,17.03,-0.1,0.88,3.91,1.58,2.4656452570202716
2609v,0.161,93.43536,91.84,15.61,0.36,1.69,2.53,5.0,1.0155842131283201
2609w,0.301,91.85098,90.96,19.86,0.55,0.81,3.29,3.97,1.0114753124063551
2609x,0.17,91.81337,92.06,17.02,0.74,0.28,1.15,0.4,1.1184669532544866
261,0.273,57.6322,96.02,,0.64,,0.42,,1.4485197231536402
2610,0.357,7.261479,96.14,,-1.26,,8.61,,2.713450911049092
2611,0.253,97.09877,95.72,,0.98,,3.38,,0.5836360395313622
2612,0.256,97.45729,94.48,,0.06,,5.92,,0.6347194721950733
2613,0.171,46.44433,90.34,,0.08,,0.74,,1.752340747040889
2614,0.171,47.49671,90.28,,-0.03,,0.67,,1.7653597074957834
2615,0.175,56.28358,90.93,,0.09,,-0.27,,1.6779744381425565
2616,0.166,54.80096,91.07,,0.09,,-0.55,,1.7344882629832787
2617,0.178,57.32767,91.33,,0.17,,-0.56,,1.6983876378508098
2618,0.316,61.42547,90.87,,-0.07,,5.14,,1.55845179458091
2619,0.169,50.07497,90.41,,0.08,,0.55,,1.7841714599524077
262,0.174,58.89677,92.24,,0.92,,-2.07,,1.4752222243447461
2620,0.239,11.29513,90.83,,-1.32,,11.07,,2.2001412819313493
2621,0.352,8.71424,93.65,,-1.19,,9.55,,2.0758660649770553
2622,0.301,62.70667,90.45,,-0.2,,6.3,,1.5058724099574237
2623,0.168,55.09965,94.47,,-0.37,,1.66,,1.6350859025105424
2624,0.251,98.29392,89.99,,2.29,,1.26,,0.7014532793256325
2625,0.159,36.75202,93.28,,-0.52,,-0.9,,1.7592562240115892
2626,0.156,45.53329,92.89,,0.54,,-2.86,,1.739799098903255
2627,0.29,59.11737,94.01,,1.92,,1.85,,1.4626650482250312
2628,0.279,25.65712,94.61,,1.65,,2.53,,2.558008807988032
263,0.179,50.43502,93.79,,-0.88,,0.79,,1.6023436036247698
2632,0.305,5.013691,92.04,,-0.52,,7.18,,1.8647495723103862
2634,0.262,25.04198,93.81,,0.72,,3.54,,2.1535992548305685
2635,0.337,2.837552,94.91,,-2.04,,11.09,,2.2266123537292666
2636,0.161,18.26888,93.72,,-1.32,,5.47,,2.319864530436492
2638,0.212,5.525485,92.18,,-1.9,,7.93,,2.728278171820581
2639a,0.24,20.23373,91.21,,-0.6,,23.66,,1.9808383913674985
2639b,0.2426853856609079,23.51939,93.42,,1.65,,-0.15,,1.8916254295402084
2639c,0.253,5.127226,,,,,9.094429430243299,,2.4643596566444295
2639d,0.239,93.71292,92.98,,1.66,,0.38,,0.7576857694556668
2639e,0.274,10.20674,,,,,9.719721678454231,,2.630773748353655
2639f,0.362,7.695055,95.2,,-1.28,,8.36,,2.662553841255523
