catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
1008r,0.2377237981678573,39.86265,93.24,23.49,-0.19,-0.37,2.98,2.78,1.6673657962267647
1008s,0.29039472096641417,5.972798,92.67,28.47,0.03,0.25,17.16,6.11,2.642720031261221
1008t,0.25792603187631047,12.93156,92.89,30.42,-0.32,0.62,3.59,2.48,1.8019167696117926
1008u,0.22525939238758702,52.9398,91.51,16.31,0.36,0.57,1.4,2.17,1.6124814289412535
1008v,0.30247175304052254,1.868936,91.07,35.19,0.05,0.18,21.48,6.31,2.142842125726569
1009,0.179,26.24011,89.92,,0.45,,0.67,,1.493645816046328
1010,0.339,5.587227,94.23,,-1.12,,7.74,,2.2238150350805665
1011,0.163,7.882285,92.42,,-0.46,,7.14,,1.3231537083925022
1012,0.174,32.87514,91.82,,-0.33,,4.64,,1.251732960127528
1013,0.337,5.406281,94.39,,-1.18,,7.77,,2.24686991698803
1014,0.317,9.489732,94.07,,-1.13,,8.56,,2.417482583843109
1015,0.162,8.957758,92.44,,-0.4,,7.1,,1.3586553745316108
1016,0.354,9.771767,94.49,,-1.06,,7.84,,2.128799504825342
1017,0.313,10.09981,94.0,,-1.13,,8.48,,2.385381504599679
1018,0.344,4.010266,92.86,,1.48,,-3.16,,3.730109156408441
1019,0.277,50.18142,90.77,,0.87,,5.28,,1.590502902418321
102,0.184,58.53059,93.8,,-0.07,,1.62,,1.3823718876729247
1020,0.314,40.26357,91.08,,-0.73,,7.67,,1.671056058400867
1021,0.17,5.426616,87.76,,-0.89,,11.88,,2.378302639092462
1023a,0.172,29.762936190452905,77.85,29.83,-1.22,0.15,12.96,1.34,2.1010967855444123
1023b,0.33,24.171132739499868,85.61,27.58,-1.03,0.84,7.27,7.22,2.077110715407295
1023c,0.334,23.26049976371816,83.85,36.01,-0.84,0.65,7.68,3.03,2.095925478437398
1023d,0.403,1.7897759932490516,79.53,33.22,-1.02,0.95,14.12,1.5,2.6409103780272107
1023e,0.137,18.320330758170726,82.49,27.7,-1.03,-0.02,9.51,-2.17,2.643482592156848
1023f,0.373,-3.327772642733592,83.34,32.31,-0.9,1.73,14.33,7.32,2.8848542224925238
1023g,0.382,-7.041262419015453,83.9,36.98,-1.27,0.24,14.0,-0.02,3.007615341887127
1023h,0.364,8.735657103104899,86.59,31.06,-0.74,0.63,10.68,1.87,2.5193510294716273
1023i,0.329,12.481336328867641,85.12,26.11,-0.94,0.48,9.78,2.12,2.4669020611869215
1023j,0.353,-6.97063133476847,86.06,29.48,-0.47,0.75,17.39,3.57,3.0102043994720877
1023l,0.396,6.216326739174406,85.04,,0.77,,20.36,,2.3955349870994986
1023m,0.357,-5.141583933456104,86.33,37.02,-0.02,0.04,19.52,-2.99,2.901991315114024
1023n,0.184,2.5902224452030254,88.08,37.98,-1.34,-0.18,10.1,-1.36,3.11453210816052
1023o,0.242,-2.6740964889392558,85.39,31.47,-1.16,0.43,13.8,-0.08,3.132417924920075
