catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1007i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007i_hi_0.tif,0.0249420455754412,0.185,14.03221,92.95,-1.34,7.72,22.46,0.97,3.95
1007j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007j_hi_1.tif,0.0096377254737199,0.311,90.62063,91.8,-1.11,6.89,21.96,2.0,5.86
1007k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007k_hi_2.tif,0.0109374423582333,0.184,92.98425,89.33,-0.65,5.24,21.72,2.19,7.49
1007l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007l_hi_1.tif,0.0440337067028536,0.344,15.41453,91.11,-0.81,9.94,27.35,2.42,10.82
1007m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007m_hh_1.tif,0.0595396789605949,0.381,13.00939,91.61,-1.19,6.81,30.12,0.25,6.89
1007n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007n_hh_1.tif,0.0103045813994438,0.32,94.69843,92.0,-0.89,4.89,21.03,0.35,3.43
1007o,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007o_hh_1.tif,0.0272607092565559,0.188,15.04828,92.96,-1.16,5.95,18.36,0.08,2.98
1007p,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007p_hh_2.tif,0.008951930307458,0.188,92.20178,90.19,-0.6,3.97,16.33,1.08,3.48
1007q,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007q_hh_0.tif,0.0098430991261906,0.297,92.29955,91.99,-0.9,4.59,22.69,0.78,5.87
1007r,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007r_hh_1.tif,0.0181489742040686,0.329,27.72501,92.58,-1.1,8.39,19.4,0.18,4.37
1007s,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007s_hh_0.tif,0.0280513720039285,0.191,15.82108,93.24,-1.1,6.07,18.48,0.19,4.12
1007t,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007t_hh_0.tif,0.0472703143538547,0.382,12.69694,91.84,-1.09,6.11,24.89,-0.15,3.98
1007u,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007u_hh_1.tif,0.009981528023747,0.185,93.51247,89.91,-0.45,5.45,21.25,0.79,4.83
1007v,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007v_hp_2.tif,0.1102575792847765,0.25,3.461182,90.63,-0.12,15.74,33.5,1.41,5.28
1007w,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007w_hp_1.tif,0.0376426602297533,0.373,16.80414,93.34,-1.01,10.57,25.45,0.45,6.52
1007x,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.2_jd/1007x_hp_1.tif,0.0368705671215875,0.373,17.12984,93.04,-0.96,10.6,29.03,0.21,7.26
1008a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008a_kk_2.tif,0.0540586445675254,,7.830747,90.81,-0.87,4.62,28.54,-0.11,2.39
1008b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008b_kk_1.tif,0.0480172009676606,,10.92876,91.28,-0.2,5.63,20.01,0.33,1.51
1008c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008c_kk_0.tif,0.0306686936577787,,15.09686,92.13,0.06,3.69,29.35,0.01,2.06
1008d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008d_kk_0.tif,0.0903851386934498,,3.839989,92.62,0.21,17.77,31.56,0.2,4.0
1008e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008e_kk_2.tif,0.0642975242530019,,6.006505,94.84,-1.07,6.62,26.58,-0.04,1.9
1008f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008f_kk_0.tif,0.0373659298335234,,6.671943,89.86,0.39,18.58,29.34,-0.12,4.09
1008g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008g_kk_2.tif,0.0898712222165073,,3.992419,95.31,-1.11,6.93,30.15,-0.34,4.28
1008h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008h_kv_2.tif,0.0245478004638911,,8.262983,93.6,-0.48,8.85,29.57,-0.15,7.94
1008i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008i_kv_1.tif,0.0640173552505215,,2.41414,92.48,-1.17,9.08,31.47,0.11,3.06
1008j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008j_kv_2.tif,0.0576089508129654,,2.991494,91.75,0.32,16.56,35.21,0.21,5.75
1008k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box2.1_jd/1008k_kv_2.tif,0.1406502804219473,,3.930414,90.45,0.3,20.24,28.42,0.22,4.79
