,localpath,roughness
15745,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563e_kf_2.tif,0.0699348934851851
15746,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563f_kb_0.tif,0.0188409553151679
15747,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563f_kb_1.tif,0.0180149382207295
15748,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563f_kb_2.tif,0.0186602283034979
15749,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563g_kk_0.tif,0.0188263006043299
15750,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563g_kk_1.tif,0.0175637967013095
15751,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563g_kk_2.tif,0.0194637893973223
15752,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563h_ka_0.tif,0.0626902182966117
15753,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563h_ka_1.tif,0.0595603676205263
15754,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563h_ka_2.tif,0.0621681749702922
15755,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563i_ka_0.tif,0.0649460420824119
15756,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563i_ka_1.tif,0.0629736278885062
15757,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563i_ka_2.tif,0.0647895014945333
15758,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647a_ii_0.tif,0.0206297097934608
15759,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647a_ii_1.tif,0.0201514717138907
15760,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647a_ii_2.tif,0.020478763728529
15761,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647b_ii_0.tif,0.0180957223900667
15762,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647b_ii_1.tif,0.0186061670116513
15763,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647b_ii_2.tif,0.018550817409323
15764,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647c_ii_0.tif,0.0272601452167096
15765,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2647c_ii_1.tif,0.0333295292054408
