catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
2497,24.75720272086677,0.231,95.67742,5.83,0.04,6.95,,,
2498,14.62189457735833,0.235,,4.6,1.5,5.25,,,
2499,1.814353047210927,0.255,97.09641,95.31,1.11,-2.32,,,
25,9.277537540872046,0.168,13.19685,88.74,-1.0,9.46,,,
250,10.716646190220589,0.354,6.372365,95.41,-0.8,8.96,,,
2500,4.726131282315947,0.165,54.58559,95.0,0.7,-0.65,,,
2501,5.313047393709214,0.171,48.11478,95.99,1.32,-0.78,,,
2502,15.305426691675253,0.289,13.22948,92.58,-0.92,5.3,,,
2503,8.65220295291708,0.362,8.172924,93.51,-1.06,8.46,,,
2504,10.039675249730122,,8.932983,92.85,-0.42,9.28,,,
2505,14.149432130503143,0.222,4.903626,90.01,2.5,5.18,,,
2506,8.82996758883301,0.253,9.888012,91.53,3.16,1.86,,,
2507,3.491682846545475,0.223,20.10746,97.33,-0.61,4.83,,,
2508,1.8959523078076683,0.248,35.78387,95.08,0.08,0.43,,,
2509,3.3214573185223872,0.242,5.707096,90.26,-0.34,8.63,,,
251,10.72246901178862,0.392,5.461464,95.3,-0.61,8.9,,,
2510,2.482768637941319,0.231,92.74581,92.24,-0.73,3.9,,,
2511,5.169623614528821,0.181,47.25587,93.2,-0.14,0.05,,,
2512,1.9303710507806464,0.1815,87.14527,94.48,-0.87,2.99,,,
2516,20.166800697810974,0.358,8.531321,95.79,-0.78,8.81,,,
2517,4.093961207496172,0.171,44.77188,92.52,-0.78,6.45,,,
2518,3.223858801500863,0.296,60.98386,95.5,0.96,1.18,,,
2519,6.334466470471932,0.242,30.26643,94.54,1.56,-3.61,,,
252,24.732351300177807,0.353,15.48613,94.73,-0.89,11.1,,,
2520,3.758023723192269,0.277,56.90039,96.12,-0.45,0.88,,,
2521,8.020314253458265,,3.388839,92.97,-0.28,4.03,,,
2522,5.455537652507861,0.161,51.24268,86.75,-1.52,9.99,,,
2523,96.79045597134336,,1.876086,25.29,1.63,1.37,,,
2524,1.7148587323084492,0.244,95.85178,95.68,0.08,-0.52,,,
2525,8.475654510977016,0.356,11.40162,91.73,-0.44,5.19,,,
2526,1.802082070306591,0.247,93.24162,95.61,-0.2,0.77,,,
2527,6.291035775943949,0.244,29.8766,94.07,1.59,-3.33,,,
2528,2.980741256675816,0.289,58.7748,95.04,1.13,1.53,,,
2529,1.7476384547938617,0.245,98.50522,94.85,1.67,-3.5,,,
253,5.116473085431799,0.293,56.69354,91.28,-1.18,11.24,,,
2530,6.373629913933772,0.243,30.25198,94.31,1.73,-3.98,,,
2531,6.313978101703046,0.242,16.36194,94.57,1.81,-4.08,,,
2532,1.7729488922181809,0.24,98.48331,94.77,1.56,-3.71,,,
2533,5.650523726227879,0.242,30.32792,94.07,1.56,-3.41,,,
2534,1.853733096266908,0.244,95.68193,94.77,-1.23,4.33,,,
2535,18.26384350154401,0.277,18.64559,93.82,0.84,5.65,,,
2536,4.5215522404066855,0.171,58.02824,93.22,0.88,5.37,,,
2538,5.725539232118243,0.247,21.85101,93.68,0.26,5.17,,,
2539,2.378644108701544,0.224,94.87315,93.64,-0.1,0.93,,,
254,2.335950175182425,0.209,83.54221,87.07,1.61,5.59,,,
2540,10.86943917068712,0.175,19.84594,91.74,-0.42,7.3,,,
2541,10.17734122512481,0.266,24.92569,94.91,0.26,3.1,,,
2542,3.826142377154736,0.272,48.85098,94.89,0.76,-0.11,,,
2543,15.809923008663006,0.191,,95.39,0.17,1.02,,,
2544,4.420805067243121,0.174,60.19324,91.03,0.15,-0.26,,,
2545,4.643630390901949,0.172,58.18581,90.58,-0.41,-0.67,,,
2546a,4.107292197018647,0.283,14.00188,94.49,0.18,4.83,26.55,-0.37,1.65
2546b,19.09190447165616,0.346,3.207139,92.67,0.04,15.25,28.39,-0.23,1.98
2546c,4.974537212496855,0.279,63.6395,94.59,1.41,1.42,18.91,0.12,0.53
2546d,3.5717468039966973,0.285,52.95687,95.73,1.42,-3.57,25.55,0.92,-1.44
2546e,3.554115200962752,0.286,2.146564,95.76,0.91,-1.11,27.97,0.8,-0.84
2546f,1.699142696470724,0.221,92.49055,93.05,0.89,-5.99,13.23,1.91,-1.12
2546g,1.6557887446434736,0.221,93.54806,93.21,1.02,-6.13,9.98,2.83,-1.93
2546h,2.593420679235744,0.223,11.6888,93.08,0.81,-5.0,19.0,1.33,0.28
2546i,6.915445137306652,0.232,21.66726,91.56,-0.09,1.56,32.67,-0.95,11.09
2547,12.940528699964034,0.262,24.20571,,,,,,
2548,12.513367399540227,0.264,25.47129,94.94,0.53,2.82,,,
2549,4.219075532677272,0.284,53.37567,94.92,0.52,0.73,,,
255,9.117328947981555,0.362,15.23666,92.51,-0.3,1.43,,,
2550,5.453380493067444,0.287,49.96742,93.78,-0.05,6.81,,,
2551,5.71549499005692,0.285,51.71198,94.63,0.3,5.33,,,
2552,10.451293273237235,0.269,6.017799,94.67,-0.46,6.11,,,
2553,10.43843699346817,,4.738622,94.78,-0.48,6.43,,,
2554,7.685864556277235,0.277,36.83594,95.64,0.97,2.35,,,
2555,8.57347652834274,0.267,29.17155,94.76,0.54,2.59,,,
2556,8.416305822858416,0.267,29.45516,95.16,0.57,2.35,,,
2557,5.500114497752665,0.173,41.09364,95.15,1.03,-1.5,,,
2559,8.674118071227728,,24.52456,94.88,0.38,2.97,,,
256,8.51134795117039,0.36,9.564295,94.94,-0.8,7.6,,,
2560,11.410812438188367,0.26,22.17273,94.42,0.36,3.21,,,
2561,6.8083483837718,0.184,38.47532,92.44,-0.18,1.44,,,
2562,1.7424396059350922,0.243,95.97785,95.02,-0.11,1.04,,,
2563a,2.0438223712709367,0.241,83.92906,94.72,1.61,-1.45,17.43,0.78,1.59
2563b,6.590297984736263,0.24,16.50584,95.15,1.48,-2.52,18.12,0.8,0.73
2563c,5.126006138506148,0.283,55.45523,95.21,1.94,-4.09,19.17,0.69,0.64
2563d,13.25960971263202,0.276,7.633663,95.3,2.13,-3.75,24.32,0.54,0.42
2563e,14.498678933248693,0.282,7.674005,96.42,-1.13,9.32,40.69,-0.38,2.43
2563f,3.928390880619709,0.284,60.35026,96.98,1.09,-0.76,11.46,0.88,2.55
2563g,3.9005631818197295,0.291,45.67696,96.51,-0.38,2.47,23.85,-0.46,2.98
2563h,14.414744990105929,0.344,5.30662,96.32,-1.42,9.49,23.26,0.32,1.13
2563i,15.211065517206489,0.352,2.826332,97.53,1.42,-1.58,28.12,0.18,-0.56
2564,4.566987114930648,0.29,47.93288,93.11,1.33,4.7,,,
2565,6.3446164518990695,0.163,43.99539,91.76,-0.07,1.74,,,
2566,4.9516043846683,0.352,8.180147,95.89,-1.25,6.19,,,
2567,3.4005432875683863,0.284,64.77899,94.32,0.69,0.72,,,
2568,3.908686825358293,0.294,57.12437,96.36,-0.66,2.93,,,
2569,1.6656575610750042,0.244,96.76939,93.61,-0.15,5.98,,,
257,21.633481055447604,0.268,14.9113,92.65,1.65,5.26,,,
2571,44.14063465276163,0.226,2.296231,22.88,0.02,0.05,,,
2572,48.16405339760629,0.216,12.91692,12.56,0.47,0.12,,,
2573,43.96937732514856,0.204,1.45042,22.59,0.66,1.01,,,
2574,17.151156250718323,0.277,7.017037,84.27,1.7,26.03,,,
2575,10.62813723446469,0.178,2.662932,91.0,-1.4,8.89,,,
2576,43.34198204852364,0.216,28.2782,8.81,0.7,0.93,,,
2577,32.654988502742015,0.182,4.190932,84.73,0.02,17.63,,,
2578,23.3270337595276,0.292,4.909606,88.87,0.09,17.47,,,
2579,10.910807094475098,0.242,5.824635,93.53,-0.58,6.82,,,
258,3.315480539125924,0.169,71.67232,95.8,-0.83,2.17,,,
2580,13.036049065853806,0.255,8.598482,93.6,-0.82,7.31,,,
2581,51.02875055151302,0.225,5.693629,13.05,2.37,0.58,,,
2582,46.12456285101666,0.207,5.128572,18.16,2.16,0.3,,,
2583,5.724062679327515,0.165,40.52211,90.33,-0.96,8.92,,,
2584,8.264623998014006,0.18,44.38346,85.49,-1.39,11.64,,,
2586,5.719232859552549,,52.44001,86.7,-0.67,14.08,,,
2587,5.546629860052908,0.154,54.85012,87.75,-1.41,4.2,,,
2588,4.599092436266205,0.27,22.13896,88.11,-0.71,9.55,,,
2589,10.76124310191694,0.272,19.15142,79.76,-0.38,17.25,,,
259,7.859831922455782,0.343,6.538911,94.79,-0.75,3.45,,,
2592,34.942542922626224,0.294,34.7116,78.05,0.06,20.81,,,
2593,4.38388632307071,0.168,51.0666,94.13,-0.42,2.29,,,
2594,4.923447604136306,0.158,49.1108,91.56,-0.53,4.7,,,
2595,15.996692420695,0.184,9.73452,90.01,-1.66,9.58,,,
2596,6.245115338362053,0.177,63.05946,,,,,,
2597,10.499160758751762,0.151,11.99076,88.41,-1.56,12.55,,,
2598,11.137153100057436,0.149,12.51256,88.63,-1.36,9.28,,,
2599,4.900956830449759,0.155,48.58206,89.01,-1.12,0.36,,,
26,10.285013027634497,0.153,9.326822,89.14,-1.68,8.7,,,
260,7.6848049785421075,0.345,6.66465,94.77,-0.8,3.62,,,
2602,7.161939033953294,0.129,42.68002,72.27,0.77,11.89,,,
2603,5.211832328412046,0.154,36.21214,93.02,-0.98,-0.48,,,
2604,3.905738523525057,0.173,44.54963,90.11,0.22,2.53,,,
2605,7.235487771197,0.338,8.191276,92.9,-0.96,8.8,,,
2606,2.694552825988813,0.281,68.03227,93.17,0.87,2.29,,,
2607,9.899790497825316,0.281,22.16884,95.52,1.56,-1.8,,,
2608,4.500456802583017,,43.24895,92.8,1.5,-0.1,,,
2609a,3.159537808658835,0.171,89.61717,92.25,0.83,2.5,6.48,0.76,1.3
2609b,3.278704912526444,0.28,91.29147,91.62,0.55,3.26,11.21,0.95,3.83
2609c,8.2701720729379,0.305,13.83425,91.71,0.6,5.6,12.05,0.5,2.07
2609d,6.615371963415188,0.287,17.94842,91.83,-0.7,12.77,16.12,0.45,6.3
2609e,12.87155316064632,0.278,2.23629,92.92,0.01,7.03,31.02,0.31,0.79
2609f,14.173420675480823,0.276,2.870157,91.26,-0.23,14.27,24.88,0.38,0.33
2609g,8.269028281249234,0.262,21.99147,91.99,0.88,4.57,15.5,0.83,1.38
2609h,10.657186572389795,0.288,16.61725,92.49,-0.7,11.99,15.04,0.33,4.83
2609i,8.944983225394397,0.274,18.0727,89.75,0.48,19.27,12.88,0.66,6.69
2609j,10.20130174736946,0.329,13.94848,91.8,0.66,6.05,11.62,0.82,0.56
2609k,17.33384331056971,0.309,9.360171,91.48,0.85,6.19,13.63,0.75,3.69
2609l,3.082799579772693,0.169,93.9834,93.09,0.7,1.11,18.34,0.51,1.8
2609m,2.7410602235387533,0.283,91.30181,93.31,1.06,0.83,14.81,1.1,3.28
2609n,7.076125126567881,0.176,13.30289,91.11,0.95,3.81,23.31,0.4,2.57
2609o,8.732052814153374,0.288,16.73289,90.71,0.73,6.37,9.58,1.25,1.25
2609p,12.77001941471234,0.168,3.156716,93.2,0.38,6.05,31.11,0.55,0.74
2609q,5.910795512743428,0.171,23.5757,92.43,0.83,4.07,15.63,0.6,1.54
2609r,9.7607161913667,0.244,16.79469,91.98,0.7,6.83,25.79,0.29,3.36
2609s,11.842941699979418,0.261,15.20881,92.31,-0.64,12.1,16.75,0.22,3.05
2609t,5.7114746358079,0.288,20.3422,92.39,0.84,4.08,24.23,0.39,3.19
2609u,11.77107507085043,0.089,11.72153,91.19,-0.1,3.91,17.03,0.88,1.58
2609v,2.7609759246827825,0.161,93.43536,91.84,0.36,2.53,15.61,1.69,5.0
2609w,2.749654623691617,0.301,91.85098,90.96,0.55,3.29,19.86,0.81,3.97
2609x,3.060159238251131,0.17,91.81337,92.06,0.74,1.15,17.02,0.28,0.4
261,4.256808593864755,0.273,57.6322,96.02,0.64,0.42,,,
2610,15.081229801060292,0.357,7.261479,96.14,-1.26,8.61,,,
2611,1.792544357825043,0.253,97.09877,95.72,0.98,3.38,,,
2612,1.8864928535230088,0.256,97.45729,94.48,0.06,5.92,,,
2613,5.768088522511213,0.171,46.44433,90.34,0.08,0.74,,,
2614,5.843673993414689,0.171,47.49671,90.28,-0.03,0.67,,,
2615,5.354698705346797,0.175,56.28358,90.93,0.09,-0.27,,,
2616,5.666027545750647,0.166,54.80096,91.07,0.09,-0.55,,,
2617,5.465128517666032,0.178,57.32767,91.33,0.17,-0.56,,,
2618,4.751459312660039,0.316,61.42547,90.87,-0.07,5.14,,,
2619,5.954644241926441,0.169,50.07497,90.41,0.08,0.55,,,
262,4.372007231427125,0.174,58.89677,92.24,0.92,-2.07,,,
2620,9.026288660848287,0.239,11.29513,90.83,-1.32,11.07,,,
2621,7.971447261621448,0.352,8.71424,93.65,-1.19,9.55,,,
2622,4.508084813317589,0.301,62.70667,90.45,-0.2,6.3,,,
2623,5.129898649273124,0.168,55.09965,94.47,-0.37,1.66,,,
2624,2.0166813802215087,0.251,98.29392,89.99,2.29,1.26,,,
2625,5.80811585036406,0.159,36.75202,93.28,-0.52,-0.9,,,
2626,5.6961989350980975,0.156,45.53329,92.89,0.54,-2.86,,,
2627,4.31745042323664,0.29,59.11737,94.01,1.92,1.85,,,
2628,12.910085246683048,0.279,25.65712,94.61,1.65,2.53,,,
263,4.96465398198151,0.179,50.43502,93.79,-0.88,0.79,,,
2632,6.454319343304974,0.305,5.013691,92.04,-0.52,7.18,,,
2634,8.61581316386314,0.262,25.04198,93.81,0.72,3.54,,,
2635,9.268414725949716,0.337,2.837552,94.91,-2.04,11.09,,,
2636,10.174295905284476,0.161,18.26888,93.72,-1.32,5.47,,,
2638,15.306509138571023,0.212,5.525485,92.18,-1.9,7.93,,,
2639a,7.248817784530626,0.24,20.23373,91.21,-0.6,23.66,,,
2639b,6.630136747430586,,23.51939,93.42,1.65,-0.15,,,
2639c,11.75595189557811,0.253,5.127226,,,,,,
2639d,2.133333477884059,0.239,93.71292,92.98,1.66,0.38,,,
2639e,13.88450886284148,0.274,10.20674,,,,,,
2639f,14.332846212241977,0.362,7.695055,95.2,-1.28,8.36,,,
2639g,14.17194024458855,0.274,8.463373,94.28,1.86,-4.09,,,
264,5.3829526581524325,0.173,50.44669,92.01,0.24,-0.05,,,
2640a,2.331977467305214,0.176,94.36292,91.9,1.89,9.73,11.3,0.54,4.79
2640b,2.264868122606768,0.173,94.52934,94.22,1.86,-1.73,12.23,1.08,0.69
2640c,5.946564494920488,0.191,27.42849,93.82,1.51,1.59,12.67,1.11,0.94
2640d,2.545046436769025,0.174,96.74651,92.13,1.44,9.96,21.65,0.77,7.88
2640e,8.613176269055801,0.191,24.01088,92.11,1.88,11.49,25.08,0.57,6.63
2640f,5.381403406569919,0.28,7.965243,92.94,1.11,2.43,30.41,0.25,-0.95
2640g,5.9850989956781895,0.297,2.219763,92.71,1.37,2.59,32.42,0.61,-1.97
2640h,5.519290622931414,0.282,7.372108,90.59,1.63,11.64,28.09,0.5,2.0
2640i,14.503939207190108,0.261,21.43878,91.91,0.78,12.46,26.82,-0.04,3.64
2640j,2.0493978119864016,0.281,96.65549,92.49,1.94,1.16,18.8,0.9,6.94
2640k,6.005357276657713,0.291,5.431553,93.88,1.26,2.32,47.16,0.48,2.68
2640l,8.883719702634831,0.265,5.483772,94.21,0.61,4.1,22.67,0.58,0.4
2640m,12.495378088035617,0.254,22.83271,93.91,1.61,1.86,15.36,0.94,2.16
2640n,10.472927574680986,0.28,3.638098,94.06,0.28,6.11,25.76,0.39,-1.84
2640o,12.611830724671298,0.265,4.07541,91.76,1.96,13.05,27.15,0.51,3.02
2640p,6.972716321932074,0.277,4.835423,93.4,0.74,12.98,52.98,-0.37,6.98
2640q,8.780587361744015,0.357,0.6436734,93.56,-1.3,12.01,26.15,0.32,1.25
2640r,5.674042294913514,0.278,6.304863,92.81,1.84,10.7,36.41,0.5,5.26
2640s,5.63758405280994,0.297,0.9290354,93.31,1.61,10.47,26.09,0.56,-0.36
2640t,5.107874013166839,0.272,0.8964335,93.19,0.28,10.98,25.22,0.29,-2.64
2641a,4.6164202235409615,0.289,61.56622,87.25,-0.45,6.88,13.94,0.48,1.78
2641b,4.749978246911957,0.283,13.49411,87.45,-0.44,5.11,28.16,-0.23,0.78
2641c,5.143138008175706,0.293,2.948771,89.84,0.04,4.72,27.46,0.36,0.3
2641d,9.771404421561394,0.296,1.788427,92.06,-0.6,11.0,32.33,0.21,-1.38
2641e,16.350083519678314,0.261,5.131575,92.61,-1.04,12.06,31.84,-0.24,1.32
2641f,4.1533981034452845,0.17,62.67984,88.5,1.87,16.31,17.24,0.46,2.62
2641g,7.020260284276159,0.287,7.044947,89.7,2.07,16.8,23.74,0.3,1.32
2641h,6.105638561707069,0.272,2.163202,89.51,1.8,16.97,30.16,0.23,0.97
2641i,12.042526729923871,0.327,1.953448,89.47,1.85,19.85,31.45,0.27,1.78
2641j,16.046979736899722,0.283,6.969812,89.5,2.54,24.03,27.7,0.1,1.53
2641k,16.753764527171604,0.276,5.119146,90.31,1.15,19.15,26.78,0.07,1.79
2641l,14.197575662679249,0.282,1.802448,92.16,-0.82,14.37,33.89,-0.03,0.59
2641m,16.50077173753573,0.322,6.230027,91.83,-1.82,16.59,24.67,-0.21,0.38
2641n,11.49011810553785,0.281,15.12994,90.75,-1.12,16.23,16.93,0.12,1.05
2642,,0.175,50.49716,89.66,0.35,1.69,,,
2643a,14.155307873053518,,8.104171,92.46,-0.82,13.47,28.66,-0.32,6.13
2643b,19.56938755572285,,6.430984,93.46,-0.88,7.31,34.33,-0.13,7.81
2643c,19.44702183624441,,6.99394,92.21,-0.04,6.8,32.0,9.17,11.51
2643d,30.464060455677465,,12.30887,91.24,-1.08,9.24,18.93,-0.01,5.29
2643e,17.962631487737003,,12.01308,89.98,-1.53,11.71,16.49,0.0,6.68
2643f,2.8970385523346223,,106.6959,88.77,0.67,-1.74,22.39,0.52,5.85
2643g,22.91201528214368,,9.146252,91.01,-0.76,9.05,42.65,-0.42,8.07
2643h,21.168152826070592,,8.492247,90.38,-0.88,7.78,60.2,3.27,12.31
2643i,20.97391009549573,,10.93342,92.42,-1.38,11.05,30.45,-0.34,6.96
2643j,36.09256977703345,,11.42204,92.2,-1.35,9.32,20.44,-0.09,4.44
2643k,23.26443210896418,,10.70128,92.98,-1.69,10.87,20.41,0.31,8.6
2643l,16.62207556325627,,6.619104,92.1,-0.92,7.96,32.49,-0.05,8.88
2643m,14.4312302910564,,5.570184,92.27,-0.53,8.24,27.65,9.38,10.83
2643n,12.013606705131188,,9.849206,93.62,-0.9,7.98,24.0,-0.2,4.84
2643o,29.74168670672673,,10.87378,93.46,-1.31,9.56,19.76,-0.4,9.55
2643p,5.475362164625539,,18.23614,92.4,-0.35,4.1,18.9,0.15,4.76
2643q,4.1534408450691656,,99.40546,91.34,0.65,-1.26,28.27,0.33,2.12
2643r,19.040047026964707,,11.04545,93.95,-0.38,6.32,37.81,-0.15,3.57
2643s,9.150164461598449,,18.25072,91.53,2.22,-0.49,29.42,0.43,0.93
2643t,25.728077680355227,,3.946707,94.72,-1.09,8.21,41.07,-0.1,4.15
2643u,2.5705498162941454,,94.76612,91.31,-0.09,-0.27,21.24,0.28,-1.47
2643v,2.693528927253128,,95.43088,92.48,-0.39,-1.68,15.49,0.16,2.03
2643w,3.046691631508524,,96.89094,91.9,0.47,-1.39,15.15,0.17,4.59
2643x,18.824900855538623,,12.33665,93.34,-0.42,9.58,26.8,-0.73,8.64
2643y,22.256113034590168,,14.27421,93.89,-1.29,9.14,66.12,-1.44,9.97
2643z,17.911140346792532,,4.756543,93.36,-0.02,7.39,28.29,0.12,-3.67
2644,5.605872904146078,0.285,11.5408,86.99,-0.02,11.43,,,
2645,6.586079644936759,0.152,8.303635,,,,,,
2646,9.26644171745488,0.298,9.242473,87.4,-0.85,12.04,,,
2647a,4.807225939518779,0.283,40.70271,,,,,,
2647b,4.630563039230428,0.278,6.02317,,,,,,
2647c,6.209174762924885,0.293,8.54279,,,,,,
2647d,12.969388414819772,0.292,16.37658,,,,,,
2647e,4.079583021268678,0.279,50.41678,,,,,,
2647f,4.092522824912871,0.285,1.113323,,,,,,
2647g,3.754774627503256,0.287,55.28671,,,,,,
2647h,4.06368863173236,0.282,2.418396,,,,,,
2647i,13.638203776398818,0.288,16.21805,,,,,,
2647j,1.870352094677597,0.242,80.41364,,,,,,
2647k,6.378980002320254,0.263,24.74035,,,,,,
2647l,1.999297428733969,0.25,2.078328,,,,,,
2647m,1.9007419569597668,0.25,92.37415,,,,,,
2647n,2.204294365478156,0.253,2.836904,,,,,,
2647o,6.858065282987625,0.242,22.68251,,,,,,
265,3.978499013774993,0.178,64.25979,90.93,0.23,0.68,,,
266,4.601195172807229,0.171,60.52053,90.24,0.2,0.35,,,
267,3.986747440121872,0.177,31.97096,90.63,0.36,-0.25,,,
268,3.77865557497714,0.171,31.69058,90.18,0.17,0.65,,,
269,6.468676219868256,0.174,42.34159,91.7,-0.19,0.35,,,
27,10.548749916759196,,11.37893,89.06,-1.33,8.7,,,
270,6.268908104377615,0.168,46.7808,91.77,-0.13,0.12,,,
271,3.458526294749276,0.176,37.43808,89.88,0.46,-0.23,,,
272,2.8226471044374954,0.172,71.44567,95.11,0.41,-0.17,,,
274,8.936067751207448,0.141,13.38168,85.25,-1.82,12.63,,,
2748,8.878314693981935,0.35,10.33745,92.83,-0.96,8.9,,,
2749,6.231148142491444,,42.95135,93.08,-0.96,0.17,,,
275,1.9686455120068649,0.244,94.79604,94.89,-1.15,3.85,,,
2750,4.143717533788045,0.176,39.92907,92.43,-0.98,4.87,,,
2752,,0.175,54.39267,92.03,0.28,-0.8,,,
2758,5.253309445586048,0.18,50.20127,91.06,0.08,-1.75,,,
2759,5.960806418680448,0.178,54.00798,91.89,0.31,-2.34,,,
276,13.706341453224072,0.253,21.32103,88.89,-5.2,5.54,,,
2760,5.470223669158795,0.18,48.81786,91.03,-0.23,-1.66,,,
2761,8.309915937106972,0.28,3.714479,88.06,2.15,20.5,,,
2763,4.909288472915356,0.159,60.3221,89.72,-0.43,5.51,,,
2764,3.875217662753103,0.166,38.4332,90.88,-0.24,2.96,,,
2765,3.941982584379556,0.1705,35.75107,90.1,-0.02,4.62,,,
2766,25.2450127326888,0.165,38.54755,86.12,-0.27,10.14,,,
2767,5.173206409062632,0.166,55.34328,92.49,-1.15,8.53,,,
2768,3.255819041647691,0.162,71.82122,88.18,-2.81,7.32,,,
2769,3.522367041247208,0.168,62.94662,87.95,-2.43,4.63,,,
277,3.6756402149730034,0.175,72.2717,92.08,0.85,-0.73,,,
2771,6.413687740730904,0.192,31.23185,93.93,-0.47,2.05,,,
2772,7.064253700140967,0.286,3.386234,91.16,-0.69,7.04,,,
2773,22.74368325819945,0.117,57.37072,57.59,0.46,20.66,,,
2774,20.66995066120358,0.151,3.673014,87.35,-0.4,15.33,,,
2775,20.18104025812605,0.152,3.651901,88.21,-0.57,14.67,,,
2776,6.597735215172024,0.309,10.45817,92.16,-0.3,4.0,,,
2777,5.0940271503683405,0.172,43.52903,93.43,-1.14,4.46,,,
278,4.050682921336465,0.18,62.86361,93.6,-0.2,2.73,,,
2780,20.21487647901817,0.299,15.63507,94.17,-1.66,8.43,,,
2781,3.8007406239356576,0.17,51.09399,94.49,-0.62,2.41,,,
2782,4.572689484165003,0.169,50.38872,92.4,-0.55,2.42,,,
279,12.780717972581998,0.347,21.5833,94.0,-1.31,10.83,,,
28,7.741257492357887,0.13,10.9168,86.95,-2.03,13.52,,,
280,1.9207157747840533,0.258,97.39343,94.08,0.65,5.1,,,
281,4.309623055757572,0.168,60.55758,91.71,0.79,-3.54,,,
282,5.298543825383828,0.168,43.0643,93.88,-0.36,3.08,,,
283,13.802354681686346,0.315,5.693228,93.86,-1.89,11.2,,,
285a,4.554011335589032,,82.73895,92.27,-0.72,3.06,11.21,1.25,0.74
285b,7.353405735818132,,14.53597,90.6,-0.77,3.52,21.34,0.45,-0.24
285c,11.897807086350452,,6.942893,92.77,-1.24,11.59,21.24,0.21,3.57
285d,33.55047227289412,,10.01955,92.63,-1.13,8.08,18.38,-0.15,5.38
285e,2.889284798513947,,90.01808,92.53,-0.97,5.07,12.72,1.19,4.01
285f,8.546912398093577,,10.66567,92.4,-0.84,3.81,26.37,0.41,1.88
285g,15.39357529535585,,10.5733,93.18,-1.26,11.09,17.13,0.56,2.47
285h,2.83788625925246,,95.50881,91.05,-0.86,4.59,11.7,0.93,3.31
285i,8.617091985616348,,6.106858,93.32,-1.04,8.74,20.98,0.58,1.44
285j,28.73881608963269,,14.51901,91.72,-0.87,7.96,17.12,0.86,2.77
285k,7.890638864739629,,5.617313,91.97,-1.26,12.25,23.89,2.99,4.97
285l,8.048550887668581,,7.04441,91.39,-0.51,5.69,21.41,0.41,0.56
285m,15.451221020308244,,6.082408,94.11,-1.04,7.19,26.5,0.21,5.06
285n,31.59170502851124,,15.02704,92.07,-0.83,9.02,18.75,0.58,7.89
285o,15.233956644315994,,12.10307,90.58,-1.11,11.41,14.19,0.5,5.36
285p,14.055892518384562,,6.198375,94.62,-0.89,8.09,21.18,0.32,2.28
285q,8.520937793959323,,6.426444,93.03,-0.66,8.29,25.56,6.9,7.3
285r,23.04904226375672,,3.323191,91.54,-1.19,9.89,35.37,0.14,3.73
285s,3.111156694830158,,92.23821,90.43,-1.7,4.21,14.98,-0.15,5.79
285t,16.14012506530684,,4.246155,92.56,-0.26,8.76,23.65,0.29,0.67
286a,3.3498955987865258,,90.84868,89.52,0.06,1.48,17.86,0.61,2.43
286b,14.70173114692029,,14.1311,94.32,-0.97,9.5,17.27,0.18,2.29
286c,8.054706645210459,,7.942731,88.46,0.52,-2.01,25.33,0.69,-0.79
286e,9.018656650250756,,7.847837,94.01,-0.93,9.91,22.72,0.42,2.2
286f,8.633704729255888,,11.10069,93.47,-1.23,9.85,25.69,6.08,11.32
286g,13.365312125529382,,14.29751,93.7,-1.29,11.46,12.81,0.89,2.77
286h,34.28277310891523,,8.194178,93.46,-1.31,7.86,19.38,0.43,3.1
286i,16.346566558144286,,12.99839,93.36,-1.37,10.32,16.19,0.44,6.42
286j,8.11038073755826,,10.84974,94.51,-1.08,8.01,23.87,0.2,4.58
286k,8.655846797061226,,8.880505,94.53,-0.93,7.36,20.97,3.45,3.16
286l,22.82104669511507,,16.18887,93.08,-1.18,7.82,15.61,0.41,6.32
286m,16.656929837074813,,11.94605,93.3,-1.36,10.87,28.02,0.16,9.7
286n,7.468512251722748,,8.529847,94.14,-0.87,8.27,20.28,0.25,3.4
286o,7.091679009832528,,8.306873,94.61,-0.75,7.9,28.11,7.34,9.44
286p,12.42408486651578,,9.219304,94.25,-1.12,6.87,19.9,0.31,4.39
286q,5.744575299189655,,9.585283,93.53,-0.85,4.09,32.36,-0.05,4.66
286r,24.062828692341544,,12.5168,93.82,-1.2,7.3,18.4,0.35,5.2
286s,20.07253980909241,,2.133633,93.66,-0.97,8.67,24.62,0.44,1.07
286t,3.046260352783821,,90.26189,92.9,-0.22,1.07,12.35,1.99,2.02
286u,8.337363563288589,,10.59022,91.97,-0.13,1.78,23.71,0.6,-1.09
286v,2.891719880697765,,89.72061,92.11,0.01,3.29,18.04,-0.71,7.34
286w,7.134795393038491,,9.151286,91.82,-1.0,8.81,18.25,0.23,2.61
286x,9.135516826986352,,9.246094,93.42,-1.15,5.0,20.08,0.12,1.2
286y,35.01568614005216,,8.269439,92.53,-1.47,7.68,43.05,-0.96,6.93
286z,17.188259040389312,,4.351655,89.14,0.45,7.85,25.77,0.5,1.26
287a,,0.252,87.52647,92.94,1.01,-2.58,9.84,1.88,0.6
287b,,0.286,54.27736,79.3,0.67,1.73,15.09,0.58,2.64
