catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
1012,3.4963968266804506,0.174,32.87514,91.82,-0.33,4.64,,,
1013,9.458084864804835,0.337,5.406281,94.39,-1.18,7.77,,,
1014,11.217584411725868,0.317,9.489732,94.07,-1.13,8.56,,,
1015,3.890957901666836,0.162,8.957758,92.44,-0.4,7.1,,,
1016,8.40477086571718,0.354,9.771767,94.49,-1.06,7.84,,,
1017,10.863206237621151,0.313,10.09981,94.0,-1.13,8.48,,,
1018,41.68365795409836,0.344,4.010266,92.86,1.48,-3.16,,,
1019,4.906215655731117,0.277,50.18142,90.77,0.87,5.28,,,
102,3.9843408376138543,0.184,58.53059,93.8,-0.07,1.62,,,
1020,5.317780719875622,0.314,40.26357,91.08,-0.73,7.67,,,
1021,10.786578600044272,0.17,5.426616,87.76,-0.89,11.88,,,
1023a,8.175131363177371,0.172,,77.85,-1.22,12.96,29.83,0.15,1.34
1023b,7.981375103950224,0.33,,85.61,-1.03,7.27,27.58,0.84,7.22
1023c,8.132964371460735,0.334,,83.85,-0.84,7.68,36.01,0.65,3.03
1023d,14.025966729140071,0.403,,79.53,-1.02,14.12,33.22,0.95,1.5
1023e,14.062090958652028,0.137,,82.49,-1.03,9.51,27.7,-0.02,-2.17
1023f,17.90095784828691,0.373,,83.34,-0.9,14.33,32.31,1.73,7.32
1023g,20.23907904970248,0.382,,83.9,-1.27,14.0,36.98,0.24,-0.02
1023h,12.420533487298725,0.364,,86.59,-0.74,10.68,31.06,0.63,1.87
1023i,11.785878307481612,0.329,,85.12,-0.94,9.78,26.11,0.48,2.12
1023j,20.291547082899665,0.353,,86.06,-0.47,17.39,29.48,0.75,3.57
1023l,10.97406747343726,0.396,,85.04,0.77,20.36,,,
1023m,18.210371877026887,0.357,,86.33,-0.02,19.52,37.02,0.04,-2.99
1023n,22.52288961147264,0.184,,88.08,-1.34,10.1,37.98,-0.18,-1.36
1023o,22.92935402629172,0.242,,85.39,-1.16,13.8,31.47,0.43,-0.08
1023p,11.11612666391259,0.375,,87.55,-1.27,12.07,31.07,1.1,6.34
1023q,12.065195143790714,0.38,,81.83,1.0,23.41,33.72,2.55,9.84
1023r,22.08640041102655,0.364,,87.65,0.18,20.26,38.79,-0.45,0.33
1023s,8.500186941142049,0.191,,91.17,-1.39,7.8,36.22,0.02,-2.05
1023t,2.373651943563574,0.162,,90.26,-1.06,8.12,20.22,0.18,4.14
1023u,2.6756073230515995,0.311,,90.6,-0.95,7.04,17.75,0.76,4.82
1023v,17.347244457271074,0.334,,88.01,-0.6,12.07,22.28,0.39,2.42
1023w,44.92310892951852,0.406,,80.69,1.36,30.91,37.48,-0.03,-2.4
1025,3.340647960365468,0.28,59.06444,96.2,-0.25,1.18,,,
1026,4.006749874420198,0.231,30.21858,93.5,-0.35,1.79,,,
1028,3.847943898919824,0.315,63.45813,93.72,1.1,4.69,,,
1029,1.7756607469405827,0.247,59.23014,94.23,0.32,6.03,,,
103,12.351130872168136,0.353,10.15804,94.07,-0.61,7.23,,,
1030,34.46673232455091,0.278,23.7583,16.56,0.1,2.63,,,
1033,4.913203710602705,0.152,42.07076,92.31,-0.86,2.01,,,
1034,2.006974795471661,0.234,93.52643,94.64,-1.39,4.19,,,
1035,1.9297513698068047,0.236,25.61448,94.34,-1.09,4.36,,,
1036,6.475005270734983,0.153,34.29456,91.38,-0.66,1.67,,,
1037,2.1832813697902456,0.222,76.04561,85.46,1.64,10.33,,,
1038,2.878305247056374,0.175,43.21613,94.25,-0.67,1.03,,,
1039,1.9265876928399857,0.24,84.95737,94.49,-0.57,2.68,,,
104,4.129882062827571,0.169,27.9463,90.76,0.52,0.04,,,
1040,4.815378669969647,0.184,58.63115,92.03,0.17,0.41,,,
105,5.569906159885848,0.155,27.95667,90.96,0.84,-0.17,,,
106,3.734422310019797,0.173,31.77229,89.16,0.12,0.76,,,
107,,0.165,48.05841,92.92,0.35,1.45,,,
108,6.888411608893924,0.167,38.72027,91.29,0.63,-0.44,,,
109,4.55421771112905,0.175,63.05759,91.94,0.4,-2.75,,,
11,22.07455297077942,0.363,9.255589,94.01,-0.34,9.12,,,
110,5.855691198492774,0.172,48.74689,92.3,-0.65,2.0,,,
111,5.276894996103789,0.175,56.39571,91.95,0.51,-2.51,,,
112,7.241597857918195,0.192,13.93359,91.23,-0.65,4.79,,,
113,12.556521036171722,0.368,6.185472,93.71,-0.99,11.07,,,
114,22.00792537025797,0.321,,93.05,-0.89,9.63,,,
115,3.857891152092024,0.176,59.87507,95.82,-0.75,2.05,,,
116,4.439596707566226,0.169,62.2257,92.66,-0.51,1.36,,,
117,4.395588242422894,0.308,48.23056,92.55,-0.07,3.92,,,
118,3.509585034878764,0.24,54.25431,90.93,-1.83,9.08,,,
