localpath,roughness
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1448_ac_2.tif,12.65449242897674
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_0.tif,11.434386066377444
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_1.tif,11.336357131840899
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_2.tif,11.605167111776838
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_0.tif,11.13324623722995
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_1.tif,9.984806111997171
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_2.tif,9.864276073004035
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_0.tif,17.536711118263426
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_1.tif,18.548801394123878
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_2.tif,18.822878584053743
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_0.tif,61.48573454779902
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_1.tif,62.053572790369046
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_2.tif,65.3026089453302
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_0.tif,11.18264901518541
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_1.tif,11.730383862880295
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_2.tif,11.85497923599572
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_0.tif,11.55908515935522
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_1.tif,12.479767063468568
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_2.tif,11.760592493430336
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_0.tif,12.672815894635312
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_1.tif,13.229150925810586
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_2.tif,13.012178406749628
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_0.tif,12.233243347554014
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_1.tif,11.924582918514313
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_2.tif,12.029167709595203
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_0.tif,12.09511617461616
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_1.tif,14.037310519429239
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_2.tif,12.38567865040347
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_0.tif,9.532530270166605
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_1.tif,9.47338003775822
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_2.tif,10.81404602361182
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_0.tif,8.396686485303785
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_1.tif,8.209727042894071
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_2.tif,8.162474490601115
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_0.tif,10.066249362410806
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_1.tif,8.255236281938108
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_2.tif,9.359796252444392
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_0.tif,9.73512652465437
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_1.tif,10.27034652987874
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_2.tif,9.40907163656035
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_0.tif,4.995237524524575
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_1.tif,4.668258821129281
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_2.tif,4.861353608238651
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_0.tif,4.210133339456306
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_1.tif,4.770621769671312
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_2.tif,4.684373184008893
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_0.tif,8.978884571123984
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_1.tif,8.891800131792806
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_2.tif,8.817524962774957
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_0.tif,6.097479791030239
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_1.tif,6.094277660331955
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_2.tif,6.256016631676068
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_0.tif,8.240050748556142
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_1.tif,9.173042738814763
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_2.tif,8.02436114051124
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_0.tif,8.17455681949386
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_1.tif,8.349675000742872
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_2.tif,9.061987698580301
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_0.tif,15.100202171680486
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_1.tif,14.180264229579294
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_2.tif,22.615559239261206
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_0.tif,19.21521576978979
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_1.tif,19.60815718699557
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_2.tif,21.19759619346535
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_0.tif,8.857268952473522
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_1.tif,8.800341139129493
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_2.tif,9.058995362954663
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_0.tif,4.830760995062642
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_1.tif,5.132295071638033
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_2.tif,5.049339125293268
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_0.tif,8.441768677343434
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_1.tif,8.063498007775909
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_2.tif,7.6578374665163285
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_0.tif,8.550358251939445
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_1.tif,7.840274598857355
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_2.tif,8.718705603973364
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_0.tif,6.288613974586344
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_1.tif,6.59251480326054
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_2.tif,6.374065561671775
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_0.tif,9.278251911199442
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_1.tif,9.312664054927652
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_2.tif,9.598997648256907
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_0.tif,10.220032766077567
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_1.tif,9.664623780033505
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_2.tif,10.303642153619272
