catalog,thickness
4996,0.193
4997,0.193
2984,0.292
2518,0.296
5005,0.286
2531,0.242
2530,0.243
5067,0.213
2970,0.284
2023,0.245
4210,0.24
5017,0.29
2529,0.245
2519,0.242
2527,0.244
5007,0.247
5008,0.246
5009,0.245
5010,0.244
2993,0.292
4305,0.221
4306,0.225
4225,0.215
2022,0.245
2135,0.288
2528,0.289
3187,0.297
5016,0.24
2532,0.24
2533,0.242
5006,0.241
2524,0.244
1830,0.244
3032,0.275
4933,0.142
4934,0.141
3035,0.29
5025,0.29
4226,0.208
1811,0.239
2982,0.267
4941,0.145
2384,0.293
2055,0.297
3159,0.289
5035,0.28
4302,0.243
4303,0.242
2526,0.247
2383,0.275
2388,0.279
2385,0.285
2386,0.287
2387,0.274
4906,0.247
2986,0.163
2292,0.176
13,0.182
2267,0.168
2268,0.168
2269,0.164
2270,0.169
2271,0.171
2273,0.166
2274,0.169
2275,0.164
2276,0.176
2277,0.179
2278,0.165
2280,0.175
2282,0.177
2283,0.174
2284,0.169
2285,0.171
2286,0.167
2287,0.17
2288,0.172
2289,0.169
2290,0.171
2291,0.174
2293,0.17
2294,0.176
2295,0.165
2296,0.17
2297,0.169
2298,0.169
11,0.363
1410,0.174
2308,0.17
209,0.176
2307,0.178
4165,0.168
2301,0.183
2502,0.289
2503,0.362
953,0.169
1827,0.173
2768,0.162
2769,0.168
2020,0.365
2004,0.322
2021,0.323
3005,0.126
1012,0.174
66,0.181
67,0.184
233,0.351
3054,0.181
68,0.181
3046,0.176
1395,0.18
1553,0.318
2299,0.35
2415,0.159
2416,0.165
2776,0.309
1832,0.184
2418,0.15
2414,0.358
3047,0.332
2929,0.316
1951,0.17
3045,0.163
253,0.293
108,0.167
1856,0.1815
2272,0.168
2279,0.165
2281,0.166
2483,0.163
2956,0.178
2961,0.169
1855,0.172
1857,0.165
1858,0.183
1864,0.18
1865,0.182
1866,0.171
1867,0.181
2957,0.175
931,0.323
943,0.309
2361,0.32
2459,0.329
2356,0.365
2391,0.172
2923,0.314
2357,0.194
936,0.263
2922,0.28
881,0.188
2764,0.166
2928,0.16
200,0.174
2765,0.1705
4835,0.18
2309,0.175
2602,0.129
2947,0.135
5149,0.1285
4990,0.153
54,0.132
5120,0.148
2102,0.262
4869,0.261
1501,0.145
1502,0.149
3168,0.172
322,0.279
99,0.154
2935,0.154
100,0.154
904a,0.12
904b,0.23
904c,0.11
904d,0.15
904e,0.15
904f,0.17
904g,0.13
904h,0.15
904i,0.17
904j,0.12
904k,0.11
904l,0.15
904m,0.13
904n,0.12
904o,0.13
904p,0.17
904q,0.16
904r,0.16
904s,0.16
904t,0.13
904u,0.16
904v,0.2
904w,0.17
904x,0.14
904y,0.09
904z,0.13
904aa,0.14
904bb,0.05
904cc,0.1
904dd,0.15
904ee,0.19
904ff,0.12
904gg,0.07
904hh,0.16
904ii,0.12
869a,0.172
869b,0.129
869c,0.346
869d,0.345
869e,0.332
869f,0.354
869g,0.302
869h,0.173
869i,0.197
869j,0.367
869k,0.323
5543a,0.171
5543b,0.126
5543c,0.347
5543d,0.356
5543e,0.335
5543f,0.358
5543g,0.308
5543h,0.173
5543i,0.191
5543j,0.364
5543k,0.308
5542a,0.165
5542b,0.127
5542c,0.338
5542d,0.344
5542e,0.331
5542f,0.357
5542g,0.303
5542h,0.168
5542i,0.195
5542j,0.352
5542k,0.301
5541a,0.17
5541b,0.128
5541c,0.352
5541d,0.37
5541e,0.347
5541f,0.357
5541g,0.313
5541h,0.17
5541i,0.194
5541j,0.359
5541k,0.314
5304a,0.338
5304b,0.351
5304c,0.3335
5304d,0.321
5304e,0.3995
5304f,0.4045
5304g,0.412
5304h,0.18
5304i,0.354
5304j,0.3505
5304k,0.352
5304l,0.3035
5304m,0.3225
5304n,0.301
5304o,0.3495
5304p,0.342
5304q,0.3475
5304r,0.339
5304s,0.1655
5304t,0.34550000000000003
5304u,0.3205
5304v,0.241
5304w,0.1675
5304x,0.177
5304y,0.3515
5304z,0.302
5436a,0.42
5436b,0.47
5436c,0.2
5436d,0.29
5436e,0.17
5413c,0.185
5413d,0.137
5413e,0.13
5413f,0.295
5413g,0.295
5413h,0.154
5413i,0.129
5413j,0.166
5413k,0.293
5413l,0.169
5413m,0.295
5413n,0.247
5413o,0.16
5413p,0.169
5413q,0.195
5413r,0.145
5413s,0.141
5413t,0.164
5413u,0.289
5413v,0.156
5413w,0.304
5413x,0.169
5413y,0.131
5413z,0.16
5413aa,0.126
5413bb,0.126
5413cc,0.121
5413dd,0.248
5413ee,0.167
5413ff,0.144
5441,0.14
305a,0.226
305b,0.126
305c,0.36
305d,0.367
305e,0.328
305f,0.347
305g,0.333
305h,0.167
305i,0.202
305j,0.369
305k,0.307
3195a,0.229
3195b,0.128
3195c,0.338
3195d,0.345
3195e,0.328
3195f,0.343
3195g,0.312
3195h,0.17
3195i,0.204
3195j,0.352
3195k,0.321
1756a,0.224
1756b,0.127
1756c,0.362
1756d,0.347
1756e,0.315
1756f,0.347
1756g,0.333
1756h,0.165
1756i,0.197
1756j,0.366
1756k,0.322
5472a,0.232
5472b,0.127
5472c,0.362
5472d,0.347
5472e,0.313
5472f,0.345
5472g,0.334
5472h,0.167
5472i,0.185
5472j,0.364
5472k,0.32
5508a,0.163
5508b,0.128
5508c,0.385
5508d,0.316
5508e,0.344
5508f,0.37
5508g,0.334
5508h,0.171
5508i,0.187
5508j,0.35
5508k,0.311
304a,0.166
304b,0.131
304c,0.384
304d,0.333
304e,0.178
304f,0.352
304g,0.337
304h,0.169
304i,0.214
304j,0.357
304k,0.321
2086a,0.24
2086b,0.264
2086c,0.348
2086d,0.364
2086e,0.172
2086f,0.353
2086h,0.243
2086i,0.238
2086j,0.16
2086k,0.171
5463a,0.318
5463b,0.351
5463c,0.306
5463d,0.163
5463e,0.163
5463f,0.332
5463g,0.333
5463h,0.363
5463i,0.301
5463j,0.176
5463k,0.333
5463l,0.366
5463m,0.354
5463n,0.326
5463o,0.297
5463p,0.18
5463q,0.314
5463r,0.324
5463s,0.159
5463t,0.391
5463u,0.295
5463v,0.256
5463w,0.357
5463x,0.366
5502a,0.312
5502b,0.342
5502c,0.297
5502d,0.16
5502e,0.268
5502f,0.329
5502g,0.373
5502h,0.308
5502i,0.176
5502j,0.332
5502k,0.361
5502l,0.351
5502m,0.33
5502n,0.303
5502o,0.183
5502p,0.317
5502q,0.343
5502r,0.157
5502s,0.383
5502t,0.308
5502u,0.237
5502v,0.37
5502w,0.36
5169a,0.346
5169b,0.343
5169c,0.332
5169d,0.317
5169e,0.401
5169f,0.407
5169g,0.409
5169h,0.18
5169i,0.345
5169j,0.351
5169k,0.342
5169l,0.302
5169m,0.327
5169n,0.339
5169o,0.335
5169p,0.348
5169q,0.295
5169r,0.333
5169s,0.164
5169t,0.343
5169u,0.321
5169v,0.242
5169w,0.165
5169x,0.178
5169y,0.343
5169z,0.304
5464a,0.153
5464b,0.163
5464c,0.226
5464d,0.291
5464e,0.279
5464f,0.299
5464g,0.296
5464h,0.308
5464i,0.325
5464j,0.309
5464k,0.324
5464l,0.259
5464m,0.27
5464n,0.337
5464o,0.331
5464p,0.298
5464q,0.299
5464r,0.341
5464s,0.176
5464t,0.315
5464u,0.311
5464v,0.304
5464w,0.302
5464x,0.304
5464y,0.277
5464z,0.28
5464aa,0.305
5464bb,0.307
5464cc,0.297
5464dd,0.301
5464ee,0.305
5464ff,0.309
5464gg,0.289
5464hh,0.292
5464ii,0.159
5464jj,0.16
5464kk,0.163
5464ll,0.316
5464mm,0.301
5464nn,0.306
5464oo,0.149
1456,0.222
4837,0.293
2575,0.178
5137,0.292
4959,0.172
1822,0.167
1002,0.294
2587,0.154
2588,0.27
2589,0.272
4113,0.154
2856,0.269
1380,0.178
1382,0.143
1381,0.177
1745,0.19
4282,0.136
4799,0.125
2111,0.256
2484,0.165
2485,0.178
90,0.151
998,0.162
2114,0.153
2115,0.166
1746,0.294
3204,0.134
3206,0.135
3209,0.19
4838,0.28
4795,0.335
4796,0.259
2920,0.165
25,0.168
3203,0.284
5122,0.166
5141,0.163
2117,0.145
5532a,0.12
5532b,0.15
5532c,0.23
5532d,0.34
5532e,0.28
5532f,0.25
5532g,0.3
5532h,0.18
5532i,0.26
5532j,0.41
5532k,0.34
5532l,0.21
5532m,0.31
5532n,0.4
5532o,0.34
5532p,0.61
5532q,0.19
5533a,0.19
5533b,0.28
5533c,0.41
5533d,0.38
5533e,0.34
5533f,0.26
5533g,0.41
5533h,0.25
5533i,0.25
5533j,0.34
5533k,0.31
5533l,0.36
5533m,0.28
5533n,0.36
5533o,0.35
5533p,0.55
5533q,0.24
1988,0.313
950,0.312
1947,0.17
3003,0.175
1955,0.171
3006,0.35
1977,0.34
1980,0.362
1974,0.295
1975,0.182
1987,0.348
1976,0.33
5127,0.178
1531,0.175
1532,0.173
1534,0.174
1979,0.177
4801,0.176
2306,0.335
2777,0.172
3104,0.174
3105,0.165
2761,0.28
2604,0.173
2112,0.184
1781,0.186
97,0.169
4846,0.308
92,0.161
4175,0.171
1753,0.348
4273,0.17
5511a,0.27
5511b,0.34
5511c,0.19
5511d,0.36
5511e,0.41
5511f,0.34
5511g,0.26
5511h,0.25
5511i,0.4
5511j,0.34
5511k,0.32
5511l,0.44
5511m,0.21
877a,0.14
877b,0.31
877c,0.21
877d,0.27
877e,0.29
877f,0.25
877g,0.24
877h,0.28
877i,0.23
877j,0.27
877k,0.36
877l,0.26
877m,0.36
877n,0.45
877o,0.33
877p,0.44
877q,0.43
877r,0.71
877s,0.19
5168,0.154
2007,0.152
2009,0.146
971,0.152
997,0.298
2583,0.165
359,0.276
1000,0.332
2451,0.142
5032,0.149
2167,0.151
4794,0.153
2008,0.156
2173,0.262
2010,0.152
5166,0.308
1447,0.149
1448,0.148
1455,0.15
1460,0.157
1457,0.157
2571,0.226
2582,0.207
2572,0.216
2576,0.216
2581,0.225
2573,0.204
2574,0.277
2577,0.182
2579,0.242
2580,0.255
2578,0.292
2584,0.18
2592,0.294
5152,0.159
1021,0.17
2936,0.177
858,0.157
1449,0.22
5531a,0.2
5531b,0.15
5531c,0.23
5531d,0.34
5531e,0.33
5531f,0.3
5531g,0.28
5531h,0.3
5531i,0.26
5531j,0.2
5531k,0.27
5531l,0.37
5531m,0.3
5531n,0.39
5531o,0.41
5531p,0.45
5531q,0.29
5540a,0.16
5540b,0.15
5540c,0.18
5540d,0.31
5540e,0.35
5540f,0.32
5540g,0.37
5540h,0.35
5540i,0.38
5540j,0.35
5540k,0.31
5540l,0.25
5540m,0.32
5540n,0.33
5540o,0.37
5540p,0.28
5540q,0.34
5540r,0.34
5540s,0.59
5540t,0.22
4793a,0.314
4793b,0.316
4973c,0.284
4793d,0.281
4793e,0.324
4793f,0.318
4793g,0.286
4793h,0.289
4783i,0.314
4783j,0.28
4783k,0.328
5431a,0.288
5431b,0.16
5431c,0.166
5431d,0.288
5431e,0.329
5431f,0.384
5431g,0.325
5431h,0.327
5431i,0.385
5431j,0.323
5431k,0.292
5431l,0.184
5431m,0.323
5431n,0.32
5431o,0.173
5431p,0.382
5431q,0.292
5431r,0.247
5431s,0.377
5431t,0.379
301a,0.131
301b,0.338
301c,0.177
301d,0.369
301e,0.198
301f,0.362
301g,0.39
301h,0.347
301i,0.195
301j,0.426
301k,0.363
4781a,0.184
4781b,0.301
4781c,0.314
4781d,0.298
4781e,0.183
4781g,0.31
4781h,0.31
4781i,0.299
4781j,0.364
4781k,0.301
4781l,0.295
4781m,0.352
4781n,0.376
4781o,0.302
4781p,0.312
4781q,0.255
4781r,0.355
4781s,0.355
5527b,0.346
5527c,0.352
5527d,0.386
5527e,0.366
5527f,0.307
5527g,0.129
5527h,0.338
5527i,0.363
5527j,0.171
5527k,0.357
5527l,0.334
5527m,0.163
5527n,0.337
5527o,0.346
5527p,0.311
5527q,0.195
5527r,0.343
5527s,0.3
5527t,0.372
5527u,0.315
5527v,0.149
5527w,0.172
5527x,0.329
5527y,0.339
5527z,0.347
5527aa,0.173
5527bb,0.341
5527cc,0.173
5527dd,0.301
5527ee,0.233
5527ff,0.241
5527gg,0.185
5527hh,0.126
5527ii,0.171
5527jj,0.178
5527kk,0.168
5527ll,0.338
5527mm,0.333
5527nn,0.169
5544a,0.172
5544b,0.128
5544c,0.348
5544d,0.349
5544e,0.342
5544f,0.366
5544g,0.305
5544h,0.176
5544i,0.189
5544j,0.356
5544k,0.299
901a,0.349
901b,0.35
901c,0.36
901d,0.389
901e,0.361
901f,0.319
901g,0.128
901h,0.332
901i,0.374
901j,0.168
901k,0.354
901l,0.331
901m,0.166
901n,0.325
901o,0.343
901p,0.309
901q,0.191
901r,0.347
901s,0.308
901t,0.339
901u,0.31
901v,0.146
901w,0.172
901x,0.374
901y,0.335
901z,0.345
901aa,0.177
901bb,0.335
901cc,0.172
901dd,0.304
901ee,0.233
901ff,0.244
901gg,0.189
901hh,0.126
901ii,0.169
901jj,0.176
901kk,0.17
901ll,0.337
901mm,0.333
901nn,0.172
5528a,0.348
5528b,0.354
5528c,0.353
5528d,0.386
5528e,0.369
5528f,0.316
5528g,0.129
5528h,0.331
5528i,0.366
5528j,0.171
5528k,0.353
5528l,0.33
5528m,0.166
5528n,0.323
5528o,0.337
5528p,0.335
5528q,0.196
5528r,0.345
5528s,0.303
5528t,0.372
5528u,0.309
5528v,0.147
5528w,0.169
5528x,0.332
5528y,0.337
5528z,0.35
5528aa,0.175
5528bb,0.339
5528cc,0.176
5528dd,0.305
5528ee,0.232
5528ff,0.237
5528gg,0.186
5528hh,0.126
5528ii,0.171
5528jj,0.175
5528kk,0.168
5528ll,0.341
5528mm,0.332
5528nn,0.173
