cat,mloc,LAB_L,LAB_A,LAB_B,hue,saturation,lightness
872g,dmax,17.27,0.44,4.04,36.24658717768176,0.1068568590062902,0.1612318034714476
872g,dmin,94.41,-0.27,8.14,41.44095111556152,0.5301868358442712,0.9187519235499232
872h,dmax,14.02,0.22,-0.39,254.3657987682113,0.0086051087795238,0.1406452384810965
872h,dmin,93.58,0.12,1.04,34.82373473262385,0.0840647716460119,0.9259273140026608
903a,dmax,13.11,0.67,0.43,8.409687264043782,0.0266444657561197,0.1336923385608617
903a,dmin,96.01,0.55,0.52,14.212107797300916,0.1157298937707282,0.9560275277795608
903b,dmax,9.25,1.14,0.35,358.0810382437255,0.0432420240670978,0.1043697781049757
903b,dmin,94.63,2.06,-0.18,341.186611585016,0.1879393236163382,0.9447538631523662
903c,dmax,13.27,1.78,1.86,15.721395533598807,0.0884115484022089,0.1358539960030431
903c,dmin,95.26,0.87,0.26,358.28947521867457,0.0994983313270752,0.9492585115340924
903d,dmax,35.93,0.35,0.27,11.240091325551704,0.0071862298141734,0.3320515630185214
903d,dmin,95.16,1.08,2.57,25.899002396986877,0.3301742621765601,0.9444110206728906
903e,dmax,16.52,0.43,1.87,31.508119016483302,0.0548505904981952,0.1586146984684469
903e,dmin,93.77,0.67,4.14,33.513717166863216,0.3311152101632117,0.9238936483710622
903f,dmax,15.29,0.72,0.93,18.55902075650528,0.0380778836503879,0.1508037341271167
903f,dmin,94.63,0.97,1.25,18.455158985290492,0.1807204285233584,0.9407202929017422
903g,dmax,11.51,0.72,2.9,31.40584676479307,0.1100220578754033,0.1171854076920364
903g,dmin,95.29,2.4,-0.59,332.7238268065229,0.2395849403794957,0.9524641103120988
903h,dmax,10.93,0.95,4.18,32.533505339886005,0.1622083578513831,0.111058304523217
903h,dmin,94.77,2.3,1.65,10.061243570144484,0.3392855654431703,0.9468105937933344
903i,dmax,28.69,0.26,3.92,37.49088921341479,0.0680650101870824,0.2594271296833673
903i,dmin,94.35,-0.31,7.03,41.81141329676405,0.4644650931859962,0.920336942627197
903j,dmax,27.02,0.42,0.88,24.50602980607709,0.0204461119080914,0.250261321331781
903j,dmin,93.43,-0.22,9.01,41.15490894777224,0.5085967415073174,0.9060766408484632
903k,dmax,24.19,0.48,0.59,17.818291681046674,0.0176189784037631,0.2260134690178969
903k,dmin,93.11,-0.41,6.58,42.59906624336827,0.366932395018712,0.9070444175317912
4881a,dmax,15.84,0.93,3.87,31.805551363812413,0.1170324827031576,0.1510921339058606
4881a,dmin,95.04,-1.18,7.95,46.97463162134602,0.4995549379454663,0.9226168419728228
4881b,dmax,12.67,1.25,0.93,10.580740699854289,0.0537161662536153,0.1310286290440781
4881b,dmin,93.54,1.59,3.12,23.82279276029675,0.3185113841649047,0.9271126327986136
4881c,dmax,14.51,1.9,2.72,20.30053831987823,0.1084843650858094,0.1448339386039389
4881c,dmin,94.8,1.0,1.16,17.01969720726089,0.1812315962774686,0.9429352138289328
4881d,dmax,37.79,0.31,1.67,32.65459297387264,0.0249437774465419,0.3469022890330704
4881d,dmin,94.82,0.94,3.96,31.06249394676377,0.4028549237833712,0.9371260146751872
4881e,dmax,13.58,0.16,2.94,38.07999010417058,0.0894277995111826,0.1321226867875724
4881e,dmin,93.29,0.58,5.67,35.75440443588923,0.3882684972699564,0.9149214801254646
4881f,dmax,18.0,0.79,2.17,27.7001994145636,0.0641640149240545,0.1714769646491592
4881f,dmin,94.12,0.81,2.15,26.974908589601625,0.2220165872026614,0.9325106248656164
4881g,dmax,12.48,0.34,1.62,32.134468831167,0.0572270137732828,0.1258995382010437
4881g,dmin,95.18,2.42,-0.25,340.32973247948274,0.2517698128358701,0.9518190204981344
4881h,dmax,9.55,0.92,3.53,31.381066767154834,0.1525042992887969,0.1012447699653311
4881h,dmin,95.11,2.24,0.14,348.2390029836283,0.2441965681236632,0.951154288794508
4881i,dmax,10.42,0.75,5.34,35.95996992846028,0.2071033752465667,0.1044267372024965
4881i,dmin,94.21,1.8,4.06,25.444186658886,0.4377875964485839,0.9334822579721416
4881j,dmax,36.17,-0.1,3.41,41.17529859278875,0.0459295625442048,0.327351499281325
4881j,dmin,93.88,-0.41,9.24,42.059706918463576,0.5360166426504875,0.909850083199637
4881k,dmax,31.98,0.26,-1.08,231.09528255527675,0.0134741260040261,0.2975207551401367
4881k,dmin,93.02,-0.59,11.88,42.58379252830002,0.5772464271051807,0.8936247027661341
4881l,dmax,27.17,0.29,-0.98,234.63531453808125,0.0132741839881495,0.2541083769098541
4881l,dmin,93.26,-0.05,7.29,40.22035288228642,0.4297569472379933,0.908611404619585
2081a,dmax,13.74,0.96,2.55,27.56306658282483,0.0917047601540366,0.1362761899949809
2081a,dmin,91.62,0.47,7.1,37.25969508412766,0.3737214366504657,0.8927761199096367
2081b,dmax,18.8,0.75,1.7,25.597937181570785,0.0508113064350805,0.1788390624161258
2081b,dmin,91.23,0.12,5.38,38.81928753007816,0.2707032051441436,0.8907414470204469
2081c,dmax,15.53,0.32,3.7,37.03778175428636,0.1044010127425495,0.147137199229143
2081c,dmin,92.63,-1.28,11.1,45.64132120812064,0.4898170309655392,0.888355687775804
2081d,dmax,13.17,1.41,2.57,23.40209091861061,0.1029935868956251,0.1328730521470151
2081d,dmin,94.39,0.15,4.77,38.370888088119614,0.3671005033998497,0.9274421026158968
2081e,dmax,21.91,0.37,6.55,38.776972380050495,0.1409083143056036,0.1955970121723833
2081e,dmin,92.56,-0.97,11.18,44.24899068056453,0.5050229896541845,0.8886063093499226
2081f,dmax,24.26,0.02,6.92,40.96823056563005,0.1332122258632519,0.2141371712887687
2081f,dmin,92.92,-1.29,12.8,45.09971077893198,0.5661518977483521,0.8876948292776004
2081h,dmax,58.39,-0.24,4.57,42.164658424064726,0.0472210730047158,0.5409943854595991
