catalog,fname,LAB_L
3122,color_km_binder6_3.txt,5.7
2576,color_km_binder1_2.txt,8.81
2572,color_km_binder1_2.txt,12.56
2581,color_km_binder1_2.txt,13.05
2582,color_km_binder1_2.txt,18.16
2571,color_km_binder1_2.txt,22.88
2573,color_km_binder1_2.txt,24.365000000000002
2523,color_km_binder1_2.txt,25.29
183,color_km_binder6_2.txt,30.34
5191,color_km_binder5_2.txt,38.754999999999995
5166,color_km_binder1_2.txt,45.345
1786,color_km_binder1_2.txt,48.92
1424,color_km_binder3_1.txt,49.06
